PLAYER_ID,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PIE,SEASON
201985,94.4,104.5,-10.0,0.254,3.29,22.2,0.017,0.085,0.048,6.8,0.427,0.451,0.089,14-15
201166,107.2,102.1,5.0,0.245,1.66,20.0,0.017,0.068,0.043,12.0,0.495,0.534,0.092,14-15
203932,97.9,105.8,-7.9,0.064,0.87,10.8,0.058,0.151,0.105,12.5,0.478,0.517,0.074,14-15
203940,98.8,115.8,-17.0,0.067,0.68,9.5,0.066,0.168,0.115,13.9,0.416,0.443,0.047,14-15
201143,107.5,100.8,6.7,0.178,2.44,17.8,0.061,0.173,0.12,7.3,0.544,0.563,0.145,14-15
2744,99.8,103.2,-3.4,0.11,1.66,8.9,0.049,0.23,0.137,5.4,0.482,0.5,0.142,14-15
202329,105.6,100.3,5.3,0.062,1.07,11.3,0.081,0.161,0.121,10.5,0.459,0.504,0.091,14-15
101187,100.0,101.1,-1.0,0.074,1.38,13.3,0.018,0.096,0.057,9.6,0.526,0.563,0.071,14-15
202692,105.1,112.3,-7.2,0.145,1.58,16.8,0.022,0.113,0.067,10.7,0.447,0.524,0.083,14-15
203945,75.9,120.0,-44.1,0.125,0.0,16.7,0.0,0.0,0.0,0.0,0.25,0.41,0.028,14-15
203458,102.5,102.9,-0.3,0.03,0.43,6.4,0.092,0.196,0.145,14.7,0.508,0.542,0.084,14-15
203144,96.0,105.1,-9.1,0.26,2.21,19.1,0.027,0.096,0.06,8.6,0.467,0.541,0.131,14-15
201582,103.0,103.2,-0.2,0.084,0.68,9.6,0.115,0.22,0.169,14.1,0.55,0.595,0.134,14-15
203459,98.9,100.9,-2.0,0.082,2.6,18.3,0.01,0.092,0.052,7.0,0.51,0.525,0.051,14-15
202087,99.9,106.1,-6.1,0.062,0.76,9.0,0.054,0.083,0.069,11.8,0.503,0.548,0.075,14-15
2405,103.8,106.3,-2.5,0.064,0.58,6.5,0.091,0.187,0.138,11.3,0.557,0.595,0.131,14-15
101161,107.6,105.8,1.8,0.092,1.06,14.5,0.082,0.146,0.115,13.7,0.592,0.603,0.093,14-15
2760,105.8,105.7,0.1,0.09,1.0,12.0,0.096,0.191,0.144,12.0,0.555,0.58,0.112,14-15
203958,88.4,100.0,-11.6,0.077,1.0,12.5,0.0,0.0,0.0,12.5,0.25,0.25,-0.041,14-15
203083,104.9,105.5,-0.6,0.037,0.46,4.2,0.162,0.272,0.215,9.2,0.514,0.504,0.125,14-15
2738,108.5,98.0,10.5,0.151,2.59,26.5,0.021,0.094,0.06,10.2,0.54,0.553,0.09,14-15
1889,102.6,107.4,-4.8,0.352,2.73,39.8,0.031,0.092,0.063,14.6,0.512,0.548,0.105,14-15
203460,105.9,100.3,5.6,0.075,1.52,20.6,0.046,0.143,0.095,13.5,0.51,0.513,0.06,14-15
200745,94.6,112.8,-18.2,0.119,1.1,9.3,0.039,0.128,0.081,8.5,0.475,0.527,0.109,14-15
1905,87.8,132.4,-44.6,0.038,1.0,11.1,0.057,0.146,0.105,11.1,0.0,0.222,0.03,14-15
101106,112.6,95.7,16.9,0.149,1.7,27.4,0.092,0.237,0.168,16.1,0.563,0.565,0.113,14-15
203094,95.5,105.2,-9.7,0.076,0.92,8.9,0.035,0.13,0.084,9.7,0.471,0.483,0.067,14-15
203952,101.5,111.3,-9.7,0.097,0.96,10.0,0.044,0.085,0.064,10.4,0.454,0.517,0.081,14-15
203461,96.9,113.3,-16.4,0.087,1.33,11.7,0.054,0.202,0.121,8.8,0.433,0.458,0.079,14-15
203076,109.9,103.8,6.1,0.109,1.57,9.1,0.072,0.215,0.144,5.8,0.536,0.591,0.192,14-15
201627,106.9,101.8,5.1,0.05,1.58,8.0,0.021,0.081,0.051,5.1,0.578,0.604,0.092,14-15
201229,106.5,103.3,3.2,0.061,1.16,11.1,0.034,0.134,0.082,9.6,0.545,0.569,0.069,14-15
203462,91.7,106.3,-14.7,0.149,0.92,13.4,0.043,0.089,0.064,14.6,0.423,0.486,0.065,14-15
202620,110.9,121.4,-10.5,0.089,2.0,16.7,0.108,0.192,0.152,8.3,0.857,0.771,0.13,14-15
203382,104.3,97.5,6.8,0.049,0.54,7.4,0.1,0.18,0.141,13.7,0.567,0.618,0.106,14-15
201167,106.3,106.4,-0.2,0.079,1.11,10.7,0.01,0.085,0.048,9.6,0.491,0.533,0.068,14-15
201948,98.4,102.8,-4.4,0.083,0.74,9.2,0.028,0.18,0.105,12.5,0.44,0.449,0.066,14-15
203085,100.4,104.0,-3.6,0.157,2.38,20.1,0.017,0.079,0.047,8.4,0.449,0.481,0.064,14-15
202340,101.7,102.8,-1.1,0.087,1.24,10.4,0.018,0.079,0.048,8.4,0.49,0.507,0.071,14-15
2732,96.0,106.0,-9.9,0.111,0.91,11.6,0.008,0.072,0.04,12.8,0.497,0.538,0.073,14-15
203463,104.8,105.4,-0.6,0.082,1.01,11.9,0.012,0.076,0.045,11.7,0.521,0.552,0.064,14-15
2757,100.5,101.0,-0.5,0.236,2.47,25.7,0.014,0.081,0.048,10.4,0.513,0.55,0.112,14-15
203108,99.4,100.0,-0.6,0.039,0.67,8.3,0.11,0.128,0.119,12.5,0.444,0.593,0.092,14-15
202687,98.2,99.3,-1.1,0.021,0.31,4.8,0.116,0.192,0.153,15.5,0.543,0.578,0.095,14-15
201933,116.9,104.7,12.2,0.246,2.33,19.3,0.056,0.161,0.11,8.3,0.506,0.551,0.146,14-15
202711,103.2,108.1,-4.9,0.057,0.87,8.9,0.028,0.086,0.057,10.2,0.532,0.562,0.073,14-15
2564,106.3,98.9,7.4,0.181,1.85,22.6,0.041,0.137,0.09,12.2,0.503,0.526,0.095,14-15
203078,105.6,101.1,4.5,0.144,1.58,15.7,0.029,0.085,0.058,10.0,0.489,0.521,0.092,14-15
201148,103.1,103.2,-0.1,0.044,1.21,8.5,0.088,0.129,0.109,7.0,0.642,0.66,0.128,14-15
101138,100.6,103.5,-2.9,0.091,1.25,10.8,0.07,0.131,0.1,8.6,0.51,0.557,0.11,14-15
203561,94.7,112.7,-18.0,0.123,1.03,14.2,0.084,0.119,0.1,13.7,0.431,0.463,0.05,14-15
201943,105.0,104.2,0.8,0.384,3.02,28.2,0.016,0.071,0.042,9.3,0.471,0.522,0.127,14-15
202688,100.9,102.6,-1.7,0.272,1.75,22.0,0.014,0.104,0.059,12.6,0.493,0.543,0.129,14-15
201575,91.6,113.5,-21.9,0.063,1.09,14.6,0.014,0.136,0.072,13.4,0.231,0.255,0.005,14-15
2217,82.5,105.9,-23.3,0.032,0.2,4.3,0.048,0.176,0.114,21.3,0.467,0.49,0.05,14-15
203148,97.6,101.3,-3.8,0.209,2.84,23.1,0.009,0.07,0.039,8.1,0.458,0.495,0.086,14-15
201572,103.2,106.3,-3.2,0.044,0.48,4.0,0.102,0.152,0.127,8.3,0.513,0.558,0.13,14-15
203998,61.7,130.2,-68.5,0.0,0.0,0.0,0.043,0.0,0.0,25.0,0.417,0.417,-0.042,14-15
203955,98.8,100.6,-1.8,0.169,1.25,14.4,0.018,0.097,0.056,11.5,0.471,0.52,0.106,14-15
201228,100.9,102.1,-1.2,0.229,2.08,26.1,0.012,0.1,0.056,12.6,0.518,0.581,0.113,14-15
203912,89.0,98.1,-9.0,0.151,0.8,14.3,0.01,0.056,0.033,17.9,0.513,0.527,0.059,14-15
203468,101.7,97.0,4.7,0.104,1.33,12.6,0.014,0.074,0.045,9.5,0.511,0.534,0.079,14-15
101139,103.1,99.3,3.8,0.069,1.03,7.2,0.009,0.101,0.056,7.0,0.491,0.525,0.091,14-15
203946,99.2,115.5,-16.3,0.021,0.33,5.0,0.09,0.037,0.066,15.0,0.214,0.309,-0.019,14-15
201171,98.6,107.4,-8.8,0.04,0.48,5.0,0.082,0.135,0.109,10.4,0.515,0.578,0.096,14-15
2430,101.2,110.6,-9.3,0.101,1.03,9.5,0.062,0.223,0.14,9.2,0.499,0.517,0.115,14-15
2546,106.5,111.0,-4.5,0.161,1.37,10.9,0.052,0.14,0.095,8.0,0.482,0.531,0.14,14-15
2406,102.7,103.6,-0.9,0.074,1.61,14.4,0.012,0.111,0.06,8.9,0.511,0.544,0.065,14-15
201858,101.0,95.7,5.4,0.085,2.2,15.9,0.0,0.104,0.047,7.2,0.34,0.34,0.012,14-15
202718,109.0,105.0,4.0,0.111,1.68,13.8,0.029,0.119,0.074,8.2,0.542,0.567,0.105,14-15
