PLAYER_ID,SEASON
1630639,22-23
1631260,22-23
1631100,22-23
203932,22-23
1628988,22-23
1630174,22-23
1630598,22-23
1629678,22-23
201143,22-23
202692,22-23
1630197,22-23
1627936,22-23
203458,22-23
1628993,22-23
1631214,22-23
1630578,22-23
1629599,22-23
203083,22-23
2738,22-23
1629614,22-23
203952,22-23
1629014,22-23
203076,22-23
1630162,22-23
1630264,22-23
1630237,22-23
1630559,22-23
203085,22-23
1630245,22-23
1628389,22-23
1627732,22-23
1631097,22-23
202687,22-23
201933,22-23
1631104,22-23
1626246,22-23
1626171,22-23
203992,22-23
202711,22-23
1629626,22-23
1630538,22-23
203078,22-23
1630527,22-23
1629634,22-23
1627742,22-23
1630296,22-23
201572,22-23
1628971,22-23
1628981,22-23
1631121,22-23
1627854,22-23
1631205,22-23
1627741,22-23
203468,22-23
1630595,22-23
1631216,22-23
1628997,22-23
1629629,22-23
1630560,22-23
1629661,22-23
1626166,22-23
1627747,22-23
1630637,22-23
1626224,22-23
1628435,22-23
1629646,22-23
1631320,22-23
1629002,22-23
1628449,22-23
1630537,22-23
101108,22-23
1629735,22-23
1631128,22-23
1631132,22-23
1626174,22-23
1629643,22-23
203991,22-23
1629632,22-23
1628998,22-23
203469,22-23
1630175,22-23
1631306,22-23
1629012,22-23
1630557,22-23
202709,22-23
1626156,22-23
1630227,22-23
1630625,22-23
1631207,22-23
1627745,22-23
203081,22-23
1627814,22-23
1629655,22-23
1628464,22-23
201980,22-23
1627863,22-23
203967,22-23
1629647,22-23
1630620,22-23
1629636,22-23
1630561,22-23
1631223,22-23
1630558,22-23
202722,22-23
1628432,22-23
1630549,22-23
1628368,22-23
1629631,22-23
1629001,22-23
201599,22-23
201942,22-23
1629731,22-23
1629028,22-23
1627749,22-23
1626153,22-23
1630166,22-23
203471,22-23
1628372,22-23
1629126,22-23
1631220,22-23
1627884,22-23
201565,22-23
1628401,22-23
1630217,22-23
1626164,22-23
1630170,22-23
1629653,22-23
1628984,22-23
203473,22-23
1628415,22-23
1627734,22-23
1631230,22-23
1628378,22-23
1631495,22-23
1628978,22-23
1627827,22-23
203926,22-23
203110,22-23
1629234,22-23
1630696,22-23
1630613,22-23
1629130,22-23
203939,22-23
1629685,22-23
1630700,22-23
1628410,22-23
201569,22-23
1630647,22-23
203095,22-23
1630596,22-23
1630267,22-23
1628402,22-23
1626163,22-23
1628373,22-23
1630532,22-23
1627832,22-23
1627788,22-23
1629216,22-23
1628221,22-23
202066,22-23
1629726,22-23
203914,22-23
1627780,22-23
1629018,22-23
201588,22-23
1627777,22-23
203507,22-23
1629048,22-23
201609,22-23
202330,22-23
203476,22-23
1629684,22-23
1628960,22-23
1630535,22-23
1628977,22-23
203084,22-23
1629312,22-23
1630529,22-23
1630193,22-23
1630171,22-23
1628392,22-23
1630543,22-23
1630198,22-23
1630587,22-23
1630600,22-23
1629676,22-23
1630191,22-23
1630225,22-23
202397,22-23
1630688,22-23
1627826,22-23
1631120,22-23
1630550,22-23
1629630,22-23
203210,22-23
201580,22-23
1631095,22-23
1631133,22-23
1631298,22-23
1631367,22-23
1630702,22-23
1631093,22-23
1630183,22-23
1630531,22-23
203109,22-23
1630256,22-23
1631222,22-23
1627751,22-23
1628973,22-23
1631105,22-23
1630224,22-23
1630552,22-23
1629667,22-23
1630188,22-23
1630591,22-23
1631114,22-23
1631288,22-23
1627750,22-23
1631123,22-23
1630547,22-23
201935,22-23
201949,22-23
1630164,22-23
1630215,22-23
1631197,22-23
1628991,22-23
1629020,22-23
1629714,22-23
1628386,22-23
1629633,22-23
1630554,22-23
1629750,22-23
1629637,22-23
1630643,22-23
