PLAYER_ID,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_AST,DRIVE_TOV,SEASON
1630639,0.5,0.1,0.3,0.5,0.0,0.1,0.3,0.571,0.1,0.0,0.0,22-23
1631260,0.4,0.0,0.1,0.5,0.0,0.0,0.1,0.154,0.3,0.0,0.0,22-23
1631100,2.8,0.9,1.8,0.5,0.3,0.4,2.1,0.741,0.7,0.1,0.2,22-23
203932,3.4,0.9,1.6,0.557,0.6,1.1,2.4,0.728,0.9,0.3,0.2,22-23
1628988,3.4,0.5,1.3,0.418,0.2,0.2,1.3,0.379,1.7,0.3,0.2,22-23
1630174,4.1,0.8,1.8,0.446,0.6,0.7,2.2,0.537,1.5,0.3,0.3,22-23
1630598,2.8,0.6,1.2,0.448,0.2,0.2,1.3,0.472,1.1,0.3,0.2,22-23
1629678,0.9,0.3,0.6,0.476,0.2,0.2,0.7,0.818,0.1,0.0,0.1,22-23
201143,1.3,0.3,0.5,0.6,0.0,0.1,0.6,0.459,0.7,0.2,0.0,22-23
202692,4.8,1.0,2.1,0.49,0.8,1.1,3.0,0.631,1.7,0.4,0.3,22-23
1630197,2.6,0.4,1.2,0.325,0.2,0.3,1.0,0.367,1.1,0.2,0.2,22-23
1627936,2.3,0.3,0.6,0.436,0.3,0.3,0.8,0.36,1.2,0.4,0.2,22-23
203458,0.1,0.0,0.1,0.5,0.0,0.0,0.1,0.667,0.0,0.0,0.0,22-23
1628993,1.0,0.3,0.3,1.0,0.0,0.0,0.5,0.5,0.5,0.3,0.0,22-23
1631214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22-23
1630578,4.4,1.1,2.0,0.567,0.6,0.9,3.0,0.673,1.5,0.3,0.4,22-23
1629599,2.2,0.5,1.2,0.407,0.4,0.5,1.4,0.627,0.6,0.2,0.1,22-23
203083,0.3,0.1,0.2,0.5,0.0,0.1,0.2,0.762,0.0,0.0,0.0,22-23
2738,0.9,0.1,0.1,1.0,0.0,0.0,0.4,0.5,0.6,0.1,0.1,22-23
1629614,8.3,1.4,3.1,0.451,0.3,0.4,3.2,0.381,4.3,0.9,0.4,22-23
203952,4.7,0.6,1.9,0.343,0.3,0.4,1.6,0.329,2.1,0.5,0.4,22-23
1629014,8.8,2.4,4.5,0.536,0.8,0.9,5.8,0.662,3.2,0.7,0.5,22-23
203076,3.1,1.0,1.9,0.542,0.6,0.9,2.8,0.896,0.6,0.1,0.1,22-23
1630162,12.3,3.5,6.7,0.523,1.9,2.5,9.3,0.756,3.1,0.8,0.9,22-23
1630264,0.9,0.2,0.4,0.391,0.3,0.4,0.6,0.642,0.3,0.1,0.0,22-23
1630237,2.0,0.3,0.6,0.6,0.1,0.2,0.9,0.434,1.1,0.1,0.2,22-23
1630559,6.3,1.3,2.1,0.607,1.4,1.6,4.3,0.678,2.6,0.6,0.5,22-23
203085,3.4,0.7,1.2,0.547,0.3,0.4,1.8,0.52,1.7,0.4,0.2,22-23
1630245,5.1,1.3,2.2,0.593,0.2,0.3,2.8,0.556,2.3,0.5,0.4,22-23
1628389,5.3,1.5,3.1,0.504,0.9,1.1,4.1,0.782,1.1,0.1,0.3,22-23
1627732,3.5,0.8,1.5,0.525,0.2,0.3,1.7,0.486,1.6,0.3,0.2,22-23
1631097,7.6,1.9,4.3,0.441,1.8,2.1,5.8,0.768,1.4,0.2,0.6,22-23
202687,0.1,0.0,0.1,0.5,0.0,0.0,0.1,0.667,0.0,0.0,0.0,22-23
201933,0.4,0.0,0.2,0.286,0.0,0.0,0.1,0.333,0.1,0.0,0.0,22-23
1631104,6.1,0.6,2.4,0.238,0.4,0.5,1.5,0.25,3.0,0.8,0.4,22-23
1626246,0.0,0.0,0.0,0.0,0.1,0.1,0.1,2.0,0.0,0.0,0.0,22-23
1626171,1.9,0.7,1.2,0.558,0.2,0.2,1.6,0.822,0.4,0.1,0.2,22-23
203992,5.2,1.3,2.4,0.55,0.5,0.6,3.2,0.609,2.2,0.5,0.3,22-23
202711,8.9,2.4,4.4,0.553,1.1,1.2,6.1,0.685,2.9,0.8,0.6,22-23
1629626,3.0,0.9,1.7,0.534,0.5,0.6,2.3,0.755,0.7,0.2,0.3,22-23
1630538,6.4,1.0,2.8,0.359,0.7,0.8,2.8,0.431,2.5,0.7,0.5,22-23
203078,15.9,4.0,7.4,0.546,1.6,2.0,10.0,0.628,6.0,1.4,0.9,22-23
1630527,3.5,0.7,2.0,0.356,0.6,0.8,2.0,0.571,0.9,0.2,0.2,22-23
1629634,0.9,0.3,0.5,0.536,0.2,0.2,0.8,0.792,0.2,0.0,0.1,22-23
1627742,13.6,3.5,6.8,0.523,2.5,2.8,9.9,0.731,3.9,1.1,1.0,22-23
1630296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22-23
201572,1.2,0.4,0.8,0.565,0.1,0.2,1.1,0.934,0.1,0.1,0.1,22-23
1628971,6.6,1.4,3.0,0.446,0.6,0.7,3.3,0.508,2.6,0.7,0.5,22-23
1628981,0.5,0.1,0.3,0.4,0.1,0.2,0.4,0.789,0.1,0.1,0.0,22-23
1631121,3.2,0.6,1.5,0.406,0.5,0.7,1.9,0.601,0.9,0.3,0.4,22-23
1627854,1.5,0.3,0.8,0.381,0.3,0.3,1.0,0.684,0.4,0.0,0.1,22-23
1631205,0.1,0.1,0.1,1.0,0.0,0.0,0.2,2.0,0.0,0.0,0.0,22-23
1627741,5.9,1.1,2.3,0.494,0.3,0.3,2.5,0.427,3.0,0.6,0.4,22-23
203468,12.4,2.7,5.5,0.489,1.1,1.4,6.6,0.534,5.1,1.5,0.7,22-23
1630595,16.6,3.8,8.0,0.469,2.2,2.5,9.8,0.593,5.5,1.5,1.3,22-23
1631216,0.4,0.1,0.1,0.5,0.1,0.1,0.2,0.476,0.2,0.1,0.0,22-23
1628997,3.4,0.6,1.3,0.446,0.4,0.5,1.6,0.483,1.4,0.3,0.3,22-23
1629629,4.7,1.3,2.5,0.541,0.6,0.6,3.4,0.72,1.5,0.2,0.3,22-23
1630560,7.1,1.5,3.4,0.454,1.2,1.3,4.4,0.628,2.4,0.5,0.5,22-23
1629661,4.6,1.0,2.1,0.506,0.4,0.5,2.7,0.591,1.7,0.3,0.3,22-23
1626166,7.5,1.8,4.1,0.439,0.5,0.8,4.2,0.558,2.6,0.7,0.4,22-23
1627747,9.6,1.7,3.8,0.439,0.9,1.2,4.3,0.451,4.3,1.5,0.6,22-23
1630637,2.8,0.0,0.5,0.0,0.5,1.0,0.5,0.176,1.5,0.2,0.2,22-23
1626224,2.5,0.5,1.1,0.424,0.2,0.3,1.2,0.474,1.0,0.3,0.2,22-23
1628435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22-23
1629646,0.1,0.0,0.0,1.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,22-23
1631320,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,22-23
1629002,0.7,0.2,0.3,0.522,0.0,0.1,0.4,0.644,0.2,0.0,0.1,22-23
1628449,0.6,0.1,0.3,0.417,0.2,0.2,0.5,0.761,0.2,0.0,0.0,22-23
1630537,4.0,0.7,1.6,0.425,0.6,0.7,2.0,0.514,1.6,0.5,0.3,22-23
101108,9.6,2.0,3.8,0.52,0.3,0.4,4.3,0.451,5.0,1.3,0.4,22-23
