PLAYER_ID,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,SEASON
203932,1.6,1.9,1.3,5.9,9.3,6.8,7.5,26.9,20-21
1628988,1.2,0.5,1.3,2.6,5.9,6.1,5.1,19.4,20-21
1630174,0.7,0.7,0.4,1.4,5.5,3.6,3.4,13.5,20-21
1627846,0.9,1.1,0.8,3.3,5.5,3.1,4.0,14.8,20-21
1629690,0.4,0.1,0.4,0.9,2.4,0.6,0.6,3.7,20-21
201143,1.8,1.2,0.4,5.9,9.0,6.8,6.9,26.9,20-21
202329,0.4,0.8,0.5,2.1,5.2,3.9,5.0,15.7,20-21
202692,1.7,1.0,0.6,3.0,7.7,6.3,4.7,22.0,20-21
1630197,0.9,0.5,0.6,2.6,11.5,6.8,6.0,26.2,20-21
1629346,0.1,0.4,0.0,0.9,3.8,2.5,2.2,7.2,20-21
1627936,1.0,0.6,1.1,2.4,6.8,4.7,4.4,18.8,20-21
203458,0.9,1.3,0.5,5.0,6.0,4.2,3.9,15.4,20-21
1628035,0.7,0.6,0.2,1.5,2.2,1.7,1.7,6.3,20-21
1628993,0.8,1.7,0.8,4.1,4.2,2.9,2.7,8.7,20-21
1628578,0.0,0.6,0.8,2.0,1.4,2.8,0.8,4.4,20-21
1629599,0.5,0.3,0.4,0.9,2.8,2.2,2.4,8.3,20-21
2760,0.0,0.2,0.0,0.8,2.4,1.6,2.8,11.2,20-21
203083,2.5,3.5,1.1,12.3,10.0,5.5,7.3,27.1,20-21
2738,0.7,0.3,0.3,1.0,8.3,5.5,3.6,18.0,20-21
203460,0.2,1.2,0.0,0.4,4.8,2.8,4.2,12.4,20-21
203952,2.9,2.2,2.3,8.1,12.2,9.7,9.6,31.9,20-21
1629014,0.6,0.4,0.7,1.0,4.6,5.7,4.4,16.3,20-21
203076,2.8,2.5,1.8,11.7,10.6,7.1,8.8,32.4,20-21
1630162,3.0,1.5,2.2,8.4,11.3,9.8,10.4,34.1,20-21
1630264,0.5,0.7,0.1,1.8,3.4,2.0,1.3,7.8,20-21
1630237,0.3,1.0,0.3,1.9,5.5,3.5,3.8,20.8,20-21
201229,0.5,0.3,0.0,0.0,2.6,1.8,1.6,6.2,20-21
1628394,0.0,0.0,0.0,0.0,7.0,2.0,4.0,14.0,20-21
1629717,1.8,0.9,0.9,1.7,9.6,7.8,7.0,30.4,20-21
203382,0.8,1.3,0.2,3.6,6.1,5.1,4.9,15.8,20-21
1630204,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.0,20-21
203085,1.8,0.6,0.8,2.4,7.4,6.4,4.9,21.0,20-21
202340,0.8,0.3,0.7,1.9,10.1,6.7,6.3,22.6,20-21
1626253,0.6,0.0,0.3,0.8,2.1,2.5,2.5,5.5,20-21
1628389,2.8,2.5,1.2,11.9,11.6,8.0,7.2,29.1,20-21
203463,1.3,0.7,1.1,1.1,6.1,4.7,4.9,16.9,20-21
1627732,2.7,1.5,3.3,10.9,11.3,7.3,10.2,31.6,20-21
202687,0.9,1.0,0.4,4.3,7.2,5.3,6.3,19.5,20-21
201933,1.3,1.2,0.3,4.3,7.7,7.7,6.3,24.3,20-21
1626246,0.4,1.5,0.2,3.3,2.0,1.8,1.8,7.8,20-21
1626171,1.8,2.3,1.0,5.5,6.7,5.8,4.3,19.2,20-21
203992,2.6,1.2,1.6,3.9,10.1,8.2,7.0,30.3,20-21
202711,2.3,1.7,2.3,5.7,11.5,7.9,7.8,33.3,20-21
1629626,0.3,0.0,0.4,0.8,2.4,0.9,2.6,5.3,20-21
202954,0.7,0.4,1.1,2.8,5.9,5.0,4.1,16.7,20-21
203078,4.2,3.1,2.2,12.7,13.1,10.2,8.3,35.6,20-21
1629634,1.7,1.8,1.5,7.7,7.9,6.4,6.7,23.2,20-21
1629164,0.8,0.3,0.9,2.0,4.6,3.1,3.3,12.2,20-21
1627742,2.6,2.0,2.0,6.6,12.9,8.8,9.1,33.1,20-21
1628968,0.0,0.0,0.0,0.3,1.3,1.0,0.7,3.0,20-21
1630271,1.0,0.3,0.6,1.2,4.2,3.6,3.2,13.4,20-21
201572,1.1,2.0,0.6,5.9,9.1,7.2,5.9,24.0,20-21
1628971,1.5,1.6,1.7,6.6,7.7,7.3,5.4,21.3,20-21
203998,0.3,0.8,0.7,2.7,2.7,1.8,1.5,6.7,20-21
1628981,0.4,0.4,0.2,1.1,2.5,1.6,1.7,5.5,20-21
1627854,1.3,0.8,1.3,1.2,6.8,5.8,4.4,18.4,20-21
1627741,2.2,2.0,3.1,2.5,12.4,10.1,9.3,38.2,20-21
1629604,0.4,0.5,0.1,0.9,2.1,2.3,2.4,5.5,20-21
