PLAYER_ID,PASSES_MADE,PASSES_RECEIVED,SECONDARY_AST,POTENTIAL_AST,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,SEASON
201985,6.4,7.6,0.1,0.9,0.6,0.073,0.096,13-14
201166,28.1,34.5,0.4,6.4,4.0,0.115,0.144,13-14
201189,11.4,6.6,0.0,1.4,0.7,0.051,0.064,13-14
203519,3.8,4.5,0.0,0.7,0.5,0.13,0.13,13-14
1733,17.2,15.3,0.1,1.6,0.9,0.048,0.051,13-14
201143,43.5,40.2,0.3,6.1,3.6,0.06,0.082,13-14
2744,26.5,37.0,0.4,4.7,2.8,0.081,0.106,13-14
202329,22.6,17.7,0.1,3.0,1.7,0.063,0.075,13-14
101187,18.1,20.0,0.1,2.3,1.3,0.055,0.072,13-14
202692,37.0,43.7,0.4,6.3,3.4,0.074,0.093,13-14
203458,8.9,4.7,0.0,0.4,0.1,0.011,0.013,13-14
203144,10.4,13.1,0.2,2.6,1.4,0.104,0.137,13-14
201582,20.6,12.1,0.1,1.4,0.9,0.035,0.044,13-14
203459,5.8,6.7,0.0,1.1,0.3,0.069,0.057,13-14
202087,15.0,13.7,0.1,1.7,0.9,0.048,0.062,13-14
2405,17.6,18.4,0.1,1.6,0.7,0.03,0.039,13-14
101161,36.4,28.0,0.1,3.3,1.9,0.04,0.052,13-14
2760,41.2,25.2,0.2,4.5,2.6,0.052,0.063,13-14
101154,26.3,24.5,0.1,3.2,1.7,0.056,0.064,13-14
203083,25.5,13.7,0.1,1.2,0.6,0.017,0.025,13-14
2738,32.6,30.0,0.5,7.2,4.9,0.128,0.15,13-14
1889,28.1,28.9,0.3,6.1,4.1,0.12,0.146,13-14
203460,7.1,5.6,0.1,1.0,0.5,0.053,0.074,13-14
200745,29.1,29.7,0.2,2.8,1.5,0.037,0.051,13-14
1905,18.6,15.3,0.1,2.9,1.8,0.084,0.098,13-14
101106,31.7,16.4,0.2,3.5,2.1,0.053,0.067,13-14
101115,14.9,16.9,0.2,1.8,1.3,0.075,0.088,13-14
203094,12.9,10.4,0.1,0.8,0.5,0.025,0.038,13-14
2740,7.8,2.7,0.0,0.0,0.0,0.0,0.0,13-14
1712,16.5,11.8,0.1,1.2,0.6,0.019,0.036,13-14
203461,15.8,9.5,0.0,0.8,0.4,0.021,0.025,13-14
203076,32.9,31.7,0.1,3.0,1.9,0.048,0.057,13-14
201627,10.6,14.9,0.1,1.3,1.1,0.073,0.1,13-14
201576,12.9,11.1,0.0,1.9,0.8,0.058,0.063,13-14
201229,18.2,15.5,0.1,1.6,0.9,0.036,0.047,13-14
203462,9.2,9.9,0.1,1.0,0.5,0.042,0.056,13-14
202620,6.4,2.2,0.0,0.8,0.2,0.094,0.031,13-14
203102,17.6,10.0,0.1,0.8,0.3,0.009,0.014,13-14
203382,9.2,8.1,0.0,1.1,0.8,0.07,0.082,13-14
201167,39.7,45.3,0.6,7.6,4.2,0.086,0.105,13-14
201948,10.5,8.7,0.2,1.0,0.5,0.034,0.052,13-14
