PLAYER_ID,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_FG3A,PULL_UP_PTS,PULL_UP_EFG_PCT,SEASON
201985,0.3,0.9,0.36,0.3,0.6,0.36,13-14
201166,0.9,2.6,0.34,1.3,2.2,0.415,13-14
201189,0.0,0.0,0.0,0.0,0.0,0.0,13-14
203519,0.5,0.5,1.0,0.0,1.0,1.0,13-14
1733,0.1,0.5,0.125,0.1,0.1,0.125,13-14
201143,0.2,0.8,0.25,0.1,0.4,0.25,13-14
2744,0.7,1.7,0.408,0.0,1.4,0.416,13-14
202329,0.2,0.4,0.343,0.0,0.3,0.343,13-14
101187,0.5,1.5,0.333,0.5,1.1,0.376,13-14
202692,1.2,3.3,0.349,0.6,2.5,0.37,13-14
203458,0.0,0.1,0.333,,0.1,0.333,13-14
203144,0.3,1.2,0.221,0.7,0.7,0.305,13-14
201582,0.0,0.1,0.333,0.0,0.1,0.333,13-14
203459,0.2,0.5,0.375,0.1,0.5,0.438,13-14
202087,0.1,0.7,0.13,0.1,0.2,0.141,13-14
2405,0.1,0.3,0.294,,0.2,0.294,13-14
101161,0.1,0.2,0.385,0.0,0.1,0.385,13-14
2760,0.2,0.4,0.407,0.0,0.3,0.407,13-14
101154,0.6,1.8,0.367,0.1,1.3,0.371,13-14
203083,0.0,0.1,0.222,0.0,0.0,0.222,13-14
2738,0.6,1.8,0.345,0.5,1.3,0.366,13-14
1889,0.4,1.0,0.386,0.1,0.8,0.395,13-14
203460,0.0,0.1,0.0,0.0,0.0,0.0,13-14
200745,0.6,1.7,0.357,0.0,1.2,0.364,13-14
1905,0.0,0.1,0.4,0.0,0.1,0.4,13-14
101106,0.1,0.1,0.625,,0.1,0.625,13-14
101115,0.2,0.8,0.286,,0.5,0.286,13-14
203094,0.1,0.4,0.333,0.0,0.3,0.333,13-14
2740,0.0,0.0,,,0.0,,13-14
1712,0.1,0.1,0.667,0.0,0.2,0.667,13-14
203461,0.1,0.5,0.292,0.1,0.3,0.313,13-14
203076,0.7,1.8,0.407,0.0,1.5,0.407,13-14
201627,0.9,2.2,0.408,0.2,1.9,0.426,13-14
201576,0.1,0.6,0.111,0.2,0.1,0.111,13-14
201229,0.1,0.2,0.357,0.0,0.2,0.357,13-14
203462,0.0,0.3,0.143,0.2,0.1,0.143,13-14
202620,0.0,0.0,,,0.0,,13-14
203102,0.0,0.3,0.0,,0.0,0.0,13-14
203382,0.0,0.2,0.25,,0.1,0.25,13-14
201167,2.1,4.7,0.452,0.6,4.5,0.48,13-14
201948,0.1,0.5,0.273,0.0,0.3,0.273,13-14
203085,0.3,1.3,0.276,0.3,0.7,0.293,13-14
202340,1.9,4.6,0.416,0.3,3.9,0.425,13-14
2732,0.6,2.3,0.256,0.4,1.2,0.267,13-14
203463,0.5,1.5,0.339,0.5,1.1,0.384,13-14
2757,0.8,2.0,0.383,0.1,1.6,0.395,13-14
203108,0.0,0.0,,0.0,0.0,,13-14
202687,0.0,0.0,0.0,,0.0,0.0,13-14
201933,0.5,1.5,0.342,0.1,1.1,0.35,13-14
2564,0.4,0.8,0.446,0.1,0.7,0.446,13-14
203078,2.7,7.1,0.381,0.6,5.5,0.393,13-14
201148,0.1,0.3,0.4,,0.2,0.4,13-14
101138,0.7,1.5,0.455,0.0,1.4,0.463,13-14
203561,0.1,0.1,0.571,0.0,0.2,0.571,13-14
201943,2.5,7.1,0.352,3.5,6.3,0.439,13-14
202688,2.3,6.1,0.368,2.2,5.2,0.427,13-14
201575,0.3,0.9,0.294,0.2,0.6,0.338,13-14
203148,1.7,3.9,0.435,0.8,3.6,0.469,13-14
201572,0.6,1.2,0.476,0.0,1.2,0.476,13-14
201957,0.1,0.3,0.333,0.1,0.2,0.375,13-14
201228,0.7,1.8,0.416,0.5,1.6,0.456,13-14
203468,0.6,1.9,0.338,0.6,1.4,0.373,13-14
101139,0.8,1.7,0.448,0.4,1.7,0.5,13-14
201171,0.1,0.3,0.2,,0.1,0.2,13-14
2430,0.5,1.8,0.279,0.0,1.0,0.279,13-14
2546,3.5,8.6,0.41,1.9,7.7,0.448,13-14
2406,1.2,3.1,0.378,0.7,2.5,0.41,13-14
203467,0.0,0.3,0.0,0.1,0.0,0.0,13-14
201858,0.3,0.8,0.375,0.2,0.7,0.406,13-14
203810,0.3,1.8,0.188,1.1,0.9,0.25,13-14
202718,0.7,1.9,0.373,0.6,1.6,0.408,13-14
101112,0.3,0.8,0.444,0.1,0.7,0.452,13-14
101111,0.2,0.7,0.308,0.4,0.5,0.346,13-14
201978,0.2,0.7,0.321,0.1,0.5,0.375,13-14
1497,0.6,1.9,0.297,1.1,1.4,0.365,13-14
2365,0.0,0.0,0.5,0.0,0.0,0.5,13-14
203569,0.1,0.1,0.5,0.1,0.2,0.75,13-14
2547,0.6,1.4,0.418,0.1,1.2,0.432,13-14
203142,0.1,0.3,0.357,0.3,0.3,0.464,13-14
201604,0.2,0.7,0.281,0.2,0.4,0.328,13-14
203187,0.2,0.5,0.35,0.1,0.4,0.4,13-14
2549,0.5,1.1,0.5,0.0,1.1,0.5,13-14
101108,3.6,8.3,0.437,2.1,8.0,0.479,13-14
202698,0.2,0.6,0.375,0.0,0.5,0.375,13-14
203147,0.0,0.0,,,0.0,,13-14
202874,0.0,0.0,,0.0,0.0,,13-14
101236,0.0,0.0,0.0,0.0,0.0,0.0,13-14
203469,0.2,0.6,0.383,0.0,0.4,0.383,13-14
202332,0.0,0.0,,,0.0,,13-14
201147,0.3,1.2,0.242,0.3,0.6,0.253,13-14
202709,0.5,1.3,0.393,0.1,1.0,0.399,13-14
201584,1.3,2.5,0.518,0.2,2.6,0.531,13-14
201571,1.7,4.1,0.415,2.0,4.3,0.515,13-14
203474,0.0,0.0,,,0.0,,13-14
201591,0.0,0.0,,,0.0,,13-14
203081,2.5,6.2,0.395,3.3,6.2,0.494,13-14
202345,0.2,0.2,1.0,0.0,0.4,1.0,13-14
202350,0.0,0.0,1.0,,0.1,1.0,13-14
101122,0.3,1.1,0.304,0.1,0.7,0.315,13-14
201980,0.7,1.9,0.373,0.9,1.8,0.476,13-14
201967,0.0,0.2,0.111,0.0,0.0,0.111,13-14
203130,0.0,1.3,0.0,0.0,0.0,0.0,13-14
203121,0.4,1.0,0.413,0.1,0.9,0.424,13-14
202721,0.3,1.3,0.265,0.5,0.8,0.324,13-14
201589,0.2,0.6,0.316,0.0,0.4,0.342,13-14
201954,1.4,3.6,0.397,0.5,3.0,0.416,13-14
101135,0.2,0.4,0.483,,0.4,0.483,13-14
2561,0.7,2.0,0.36,0.0,1.5,0.36,13-14
201599,0.0,0.0,0.5,,0.0,0.5,13-14
202732,0.0,0.0,,,0.0,,13-14
201971,0.1,0.2,0.375,0.0,0.2,0.375,13-14
201942,2.9,7.6,0.384,0.5,5.9,0.391,13-14
202326,0.7,1.8,0.388,0.0,1.4,0.388,13-14
201960,0.3,1.1,0.273,0.3,0.7,0.312,13-14
203471,0.3,1.2,0.259,0.3,0.6,0.267,13-14
965,0.6,1.6,0.398,0.7,1.5,0.488,13-14
101114,1.8,4.3,0.416,1.5,4.0,0.465,13-14
