PLAYER_ID,OREB_CHANCE_PCT,DREB_CHANCE_PCT,REB_CHANCE_PCT_ADJ,SEASON
203932,0.476,0.708,0.703,18-19
1628988,0.278,0.633,0.626,18-19
1627846,0.318,0.633,0.626,18-19
201143,0.455,0.557,0.577,18-19
202329,0.385,0.652,0.646,18-19
1626210,0.4,0.714,0.655,18-19
202692,0.297,0.637,0.635,18-19
203518,0.294,0.524,0.527,18-19
1627936,0.476,0.662,0.65,18-19
203458,0.41,0.524,0.532,18-19
1627816,0.453,0.653,0.623,18-19
1628035,0.458,0.656,0.638,18-19
1628993,0.286,0.625,0.613,18-19
203459,0.333,0.638,0.641,18-19
1629019,0.284,0.594,0.567,18-19
1628518,0.375,0.682,0.6,18-19
101161,0.405,0.568,0.574,18-19
203083,0.516,0.689,0.671,18-19
2738,0.495,0.59,0.635,18-19
201281,1.0,0.5,0.667,18-19
101106,0.5,0.655,0.686,18-19
1626150,0.6,0.538,0.588,18-19
203952,0.346,0.556,0.544,18-19
1629014,0.6,0.556,0.65,18-19
1629116,0.667,0.667,0.8,18-19
1627790,0.382,0.555,0.531,18-19
203076,0.516,0.681,0.669,18-19
201229,0.231,0.585,0.601,18-19
1628469,0.184,0.688,0.639,18-19
203382,0.44,0.51,0.533,18-19
203085,0.379,0.457,0.494,18-19
202340,0.355,0.498,0.51,18-19
1629168,0.667,0.6,0.615,18-19
1628389,0.416,0.609,0.595,18-19
203463,0.25,0.609,0.567,18-19
1627732,0.422,0.725,0.67,18-19
1628656,0.0,0.6,0.6,18-19
202687,0.391,0.595,0.565,18-19
201933,0.353,0.651,0.641,18-19
1626246,0.481,0.599,0.609,18-19
1626171,0.46,0.687,0.651,18-19
203992,0.342,0.58,0.587,18-19
202711,0.173,0.648,0.579,18-19
1629045,0.4,0.688,0.638,18-19
202954,0.273,0.679,0.672,18-19
203078,0.403,0.588,0.588,18-19
1629164,1.0,1.0,1.0,18-19
1627742,0.328,0.624,0.588,18-19
202688,0.303,0.59,0.573,18-19
1629102,0.429,0.591,0.552,18-19
