PLAYER_ID,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,SEASON
203932,0.691,0.309,0.586,0.076,0.245,0.147,0.169,0.177,0.51,0.5,0.5,0.89,0.11,0.585,0.415,19-20
1628988,0.607,0.393,0.466,0.102,0.416,0.123,0.118,0.14,0.364,0.288,0.712,0.839,0.161,0.494,0.506,19-20
1627846,0.513,0.487,0.435,0.035,0.417,0.159,0.148,0.186,0.4,0.653,0.347,0.979,0.021,0.78,0.22,19-20
1629690,0.464,0.536,0.375,0.0,0.563,0.25,0.062,0.219,0.375,0.667,0.333,1.0,0.0,0.833,0.167,19-20
1629678,0.337,0.663,0.323,0.081,0.576,0.071,0.101,0.202,0.242,0.688,0.313,1.0,0.0,0.857,0.143,19-20
201143,0.601,0.399,0.551,0.175,0.372,0.083,0.077,0.112,0.376,0.614,0.386,0.98,0.02,0.727,0.273,19-20
202329,0.581,0.419,0.41,0.051,0.346,0.103,0.244,0.154,0.359,0.438,0.563,0.889,0.111,0.6,0.4,19-20
202692,0.608,0.392,0.413,0.119,0.35,0.098,0.237,0.136,0.294,0.424,0.576,0.681,0.319,0.517,0.483,19-20
1629346,0.675,0.325,0.576,0.034,0.153,0.085,0.271,0.068,0.542,0.529,0.471,1.0,0.0,0.6,0.4,19-20
1627936,0.588,0.412,0.458,0.04,0.344,0.223,0.198,0.178,0.418,0.575,0.425,0.875,0.125,0.675,0.325,19-20
203458,0.815,0.185,0.735,0.005,0.11,0.043,0.155,0.1,0.731,0.727,0.273,1.0,0.0,0.751,0.249,19-20
1628035,0.62,0.38,0.648,0.055,0.231,0.104,0.121,0.154,0.593,0.678,0.322,1.0,0.0,0.74,0.26,19-20
1628993,0.724,0.276,0.529,0.0,0.265,0.176,0.206,0.235,0.529,0.667,0.333,1.0,0.0,0.75,0.25,19-20
203459,0.328,0.672,0.314,0.105,0.628,0.076,0.058,0.192,0.209,0.667,0.333,1.0,0.0,0.857,0.143,19-20
1629019,0.5,0.5,0.413,0.194,0.368,0.187,0.219,0.097,0.219,0.281,0.719,0.789,0.211,0.471,0.529,19-20
1628518,1.0,0.0,0.667,0.0,0.0,0.0,0.333,0.0,0.667,0.4,0.6,0.0,0.0,0.4,0.6,19-20
1629599,0.648,0.352,0.586,0.103,0.31,0.155,0.104,0.31,0.483,0.471,0.529,1.0,0.0,0.609,0.391,19-20
203083,0.955,0.045,0.818,0.01,0.015,0.071,0.167,0.147,0.808,0.574,0.426,0.8,0.2,0.577,0.423,19-20
2738,0.466,0.534,0.5,0.104,0.438,0.104,0.062,0.188,0.396,0.667,0.333,0.929,0.071,0.763,0.237,19-20
203460,0.517,0.483,0.5,0.0,0.45,0.0,0.05,0.1,0.5,0.8,0.2,1.0,0.0,0.875,0.125,19-20
203952,0.658,0.342,0.555,0.078,0.283,0.075,0.162,0.145,0.477,0.393,0.607,0.775,0.225,0.49,0.51,19-20
1629014,0.578,0.422,0.48,0.155,0.389,0.136,0.131,0.142,0.325,0.374,0.626,0.68,0.32,0.481,0.519,19-20
