PLAYER_ID,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,SEASON
201166,1.1,0.6,0.5,4.1,4.39,3.83,15-16
203932,1.8,1.0,0.8,4.56,5.08,4.06,15-16
1626151,0.3,0.2,0.2,4.37,4.45,4.28,15-16
203940,0.7,0.4,0.3,4.31,4.6,4.01,15-16
201143,2.2,1.1,1.0,4.06,4.42,3.73,15-16
2744,1.5,0.8,0.7,3.97,4.14,3.79,15-16
202329,2.1,1.1,0.9,4.39,4.75,4.02,15-16
101187,1.0,0.5,0.5,4.13,4.38,3.9,15-16
1626210,0.5,0.3,0.2,4.23,4.53,3.93,15-16
202692,1.8,1.0,0.8,4.23,4.44,4.02,15-16
203458,1.6,0.8,0.7,4.08,4.33,3.82,15-16
1627293,0.6,0.4,0.3,4.17,4.1,4.25,15-16
201582,1.0,0.5,0.5,4.08,4.42,3.76,15-16
203459,1.9,1.0,0.8,4.3,4.68,3.91,15-16
202087,1.7,0.9,0.8,4.56,4.81,4.33,15-16
2405,1.0,0.5,0.5,4.03,4.21,3.86,15-16
101161,1.5,0.8,0.8,4.09,4.37,3.84,15-16
2760,0.7,0.4,0.3,4.36,4.6,4.1,15-16
203083,2.2,1.1,1.0,3.94,4.11,3.77,15-16
2738,1.8,1.0,0.9,4.16,4.59,3.78,15-16
1889,0.8,0.4,0.4,3.92,4.2,3.63,15-16
203460,1.7,0.9,0.8,4.58,4.83,4.36,15-16
200745,0.9,0.5,0.4,4.08,4.29,3.86,15-16
101106,1.3,0.7,0.6,3.83,4.2,3.5,15-16
202726,0.4,0.2,0.2,4.11,4.78,3.61,15-16
203094,1.0,0.5,0.5,4.11,4.31,3.9,15-16
203952,2.4,1.3,1.1,4.06,4.34,3.78,15-16
203461,0.3,0.2,0.1,4.42,4.62,4.2,15-16
1626148,1.5,0.8,0.7,4.38,4.51,4.23,15-16
203076,2.4,1.2,1.1,3.99,4.31,3.69,15-16
201627,0.9,0.5,0.4,4.17,4.54,3.8,15-16
201229,1.3,0.7,0.6,4.18,4.55,3.79,15-16
203462,1.4,0.8,0.7,4.36,4.67,4.06,15-16
203382,1.0,0.5,0.5,4.06,4.24,3.87,15-16
201167,2.3,1.3,1.0,4.21,4.55,3.86,15-16
203085,1.6,0.8,0.7,4.32,4.51,4.13,15-16
202340,2.4,1.2,1.2,4.3,4.56,4.07,15-16
1626253,1.1,0.5,0.5,4.41,4.63,4.19,15-16
203463,1.6,0.9,0.8,4.68,5.07,4.32,15-16
2757,1.2,0.7,0.5,4.51,5.08,3.91,15-16
