PLAYER_ID,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,SEASON
203932,42.3,27.5,2.0,2.77,1.89,0.355,1.7,2.1,5.1,21-22
1630565,2.8,1.8,0.1,1.96,1.0,0.118,0.3,0.0,0.2,21-22
1628988,31.4,12.2,2.4,4.63,4.32,0.202,0.2,0.0,0.4,21-22
1630174,15.4,8.2,0.5,1.88,0.99,0.244,0.2,0.0,0.3,21-22
1630598,25.1,17.5,0.9,2.12,1.47,0.332,0.3,0.0,1.6,21-22
1627846,9.9,5.8,0.3,1.86,1.14,0.246,0.1,0.0,0.5,21-22
1630278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21-22
1629678,19.4,8.9,0.5,1.59,0.63,0.198,0.2,0.1,0.8,21-22
1629958,2.0,0.0,0.2,5.18,4.5,1.0,0.0,0.0,0.0,21-22
201143,49.4,29.4,1.4,1.73,0.64,0.207,2.2,1.9,3.9,21-22
202692,56.1,26.0,3.5,3.74,3.06,0.21,0.4,0.1,0.5,21-22
1630758,18.4,9.4,0.4,1.44,0.6,0.152,0.0,0.0,0.2,21-22
1630197,38.0,21.1,1.4,2.23,1.41,0.2,0.6,0.0,1.8,21-22
1627936,50.5,20.3,2.8,3.3,2.67,0.147,0.8,0.0,1.4,21-22
203458,24.2,15.3,0.6,1.47,0.48,0.249,2.7,0.4,4.8,21-22
1628035,13.6,7.6,0.4,1.6,0.74,0.255,0.2,0.0,1.1,21-22
1628993,10.7,5.6,0.4,2.07,0.87,0.166,0.6,0.0,1.7,21-22
1630578,37.7,26.2,1.5,2.36,1.03,0.255,2.2,2.9,4.1,21-22
1629599,29.1,17.9,1.3,2.75,1.66,0.308,0.1,0.0,0.4,21-22
203083,29.2,18.8,0.8,1.75,0.67,0.273,2.1,1.1,6.6,21-22
2738,37.1,19.7,1.8,2.89,1.74,0.107,0.9,0.4,2.1,21-22
203952,46.9,30.9,2.3,2.96,2.15,0.366,0.6,1.7,2.7,21-22
1629014,61.3,25.3,5.3,5.2,4.62,0.283,0.3,0.0,0.4,21-22
203076,68.8,43.3,2.6,2.3,0.99,0.337,5.8,6.3,10.0,21-22
1630162,61.5,31.2,4.3,4.15,3.6,0.346,0.9,0.2,1.2,21-22
1630264,11.9,8.4,0.3,1.73,0.7,0.344,0.6,0.1,1.5,21-22
1630237,8.5,3.0,0.3,2.37,1.77,0.0,0.0,0.0,0.0,21-22
1629717,23.2,15.1,0.9,2.32,1.56,0.23,0.1,0.0,0.3,21-22
1629083,1.5,1.0,0.0,0.89,0.33,0.0,0.0,0.0,0.0,21-22
1630559,32.1,16.8,1.4,2.53,1.75,0.227,0.5,0.0,1.2,21-22
203085,25.3,17.3,1.2,2.74,1.79,0.237,0.3,0.0,0.3,21-22
202340,22.8,14.6,0.6,1.63,1.02,0.279,0.3,0.0,1.4,21-22
1630245,41.4,17.9,2.5,3.67,3.29,0.213,0.4,0.0,0.5,21-22
1629168,18.0,10.0,0.6,2.01,1.0,0.361,0.5,0.0,1.8,21-22
1628389,65.0,38.3,2.9,2.65,1.44,0.293,5.1,3.7,7.7,21-22
203463,27.3,19.0,0.8,1.77,0.93,0.376,0.5,0.0,0.6,21-22
202687,21.0,11.1,0.6,1.59,0.38,0.286,2.4,0.5,5.3,21-22
201933,30.4,17.7,1.0,1.91,0.87,0.211,2.0,0.9,2.7,21-22
1626246,9.0,5.7,0.3,1.9,0.63,0.476,0.7,2.4,2.6,21-22
1626171,44.3,22.1,1.1,1.54,0.57,0.33,1.3,1.7,4.5,21-22
203992,43.0,26.7,2.0,2.85,1.99,0.351,0.4,0.2,0.5,21-22
202711,40.7,28.1,1.5,2.18,1.41,0.444,0.5,1.5,1.5,21-22
1629626,7.6,5.0,0.2,1.7,0.89,0.308,0.2,0.2,0.8,21-22
1630538,43.4,19.0,2.8,3.81,3.15,0.233,0.4,0.0,0.4,21-22
202954,30.8,13.0,2.2,4.36,4.08,0.117,0.3,0.0,0.5,21-22
203078,74.7,43.1,5.5,4.43,3.86,0.311,1.4,0.4,1.5,21-22
1630527,21.7,11.7,1.0,2.75,2.2,0.307,0.2,0.0,0.6,21-22
1629634,26.0,16.2,0.7,1.5,0.68,0.4,2.9,0.2,5.4,21-22
1629164,34.7,12.6,2.9,5.08,4.61,0.137,0.2,0.0,0.4,21-22
1627742,64.4,41.3,4.2,3.95,2.87,0.349,1.9,1.4,1.2,21-22
202688,28.0,12.8,2.2,4.62,4.73,0.229,0.0,0.0,0.2,21-22
1630314,59.8,25.8,4.6,4.57,4.31,0.215,0.5,0.0,0.5,21-22
1630296,31.5,16.6,0.9,1.65,0.86,0.228,0.6,0.2,2.5,21-22
1630271,7.6,3.3,0.5,4.04,3.74,0.231,0.2,0.0,0.3,21-22
201572,24.4,17.8,0.6,1.49,0.39,0.508,1.8,1.5,4.6,21-22
1628971,37.3,17.4,1.5,2.42,1.63,0.241,1.9,0.0,3.7,21-22
1628981,9.1,4.9,0.2,1.57,0.57,0.321,0.7,0.3,1.6,21-22
1627854,22.5,17.5,0.8,2.08,1.42,0.393,0.2,0.0,0.1,21-22
1627741,54.2,32.2,2.3,2.54,1.87,0.286,0.3,0.0,0.8,21-22
1629604,24.4,14.1,1.0,2.35,1.53,0.239,0.4,0.0,1.7,21-22
203468,66.8,33.9,5.0,4.48,3.92,0.331,0.8,0.0,0.9,21-22
101139,1.0,1.0,0.0,2.2,1.0,0.0,0.0,0.0,0.0,21-22
1630595,77.0,30.5,5.8,4.54,3.9,0.227,0.7,0.3,1.2,21-22
1628997,26.6,16.2,1.0,2.22,1.28,0.345,0.8,0.0,2.3,21-22
1629629,23.2,16.8,1.0,2.52,1.62,0.436,0.5,0.0,0.7,21-22
1630560,25.2,12.1,1.5,3.49,2.85,0.338,0.2,0.0,0.3,21-22
1629661,33.3,20.0,0.9,1.71,1.01,0.368,0.7,0.0,0.9,21-22
1630787,18.3,9.7,0.6,2.13,1.33,0.255,0.0,0.0,1.3,21-22
1628419,30.5,14.0,0.7,1.32,0.31,0.377,2.5,0.5,4.5,21-22
1626166,52.0,17.8,4.6,5.28,4.47,0.208,0.2,0.0,0.4,21-22
1627747,62.8,35.2,4.3,4.07,3.63,0.271,0.7,0.2,1.3,21-22
1630637,8.4,3.4,0.7,5.22,4.72,0.095,0.0,0.0,0.2,21-22
2546,34.0,22.6,1.1,1.89,0.68,0.392,0.7,2.6,1.6,21-22
