PLAYER_ID,TEAM_ABBREVIATION,SEASON,TEAM_NAME
201985,MIN,13-14,Timberwolves
201166,DEN,13-14,Nuggets
201189,SAC,13-14,Kings
203519,PHI,13-14,76ers
1733,WAS,13-14,Wizards
201143,ATL,13-14,Hawks
2744,CHA,13-14,Hornets
202329,NOP,13-14,Pelicans
101187,BKN,13-14,Nets
202692,UTA,13-14,Jazz
203458,PHX,13-14,Suns
203144,MIN,13-14,Timberwolves
201582,NOP,13-14,Pelicans
203459,POR,13-14,Blazers
202087,CLE,13-14,Cavaliers
2405,NYK,13-14,Knicks
101161,TOR,13-14,Raptors
2760,CLE,13-14,Cavaliers
101154,BKN,13-14,Nets
203083,DET,13-14,Pistons
2738,GSW,13-14,Warriors
1889,WAS,13-14,Wizards
203460,OKC,13-14,Thunder
200745,NYK,13-14,Knicks
1905,BKN,13-14,Nets
101106,GSW,13-14,Warriors
101115,IND,13-14,Pacers
203094,ORL,13-14,Magic
2740,UTA,13-14,Jazz
1712,LAC,13-14,Clippers
203461,CLE,13-14,Cavaliers
203076,NOP,13-14,Pelicans
201627,NOP,13-14,Pelicans
201576,DEN,13-14,Nuggets
201229,CHA,13-14,Hornets
203462,PHX,13-14,Suns
202620,CLE,13-14,Cavaliers
203102,PHI,13-14,76ers
203382,SAS,13-14,Spurs
201167,ORL,13-14,Magic
201948,SAS,13-14,Spurs
203085,NOP,13-14,Pelicans
202340,BOS,13-14,Celtics
2732,CHA,13-14,Hornets
203463,SAC,13-14,Kings
2757,MEM,13-14,Grizzlies
203108,DAL,13-14,Mavericks
202687,CHA,13-14,Hornets
201933,LAC,13-14,Clippers
2564,SAS,13-14,Spurs
203078,WAS,13-14,Wizards
201148,DAL,13-14,Mavericks
101138,BOS,13-14,Celtics
203561,PHI,13-14,76ers
201943,DET,13-14,Pistons
202688,MIL,13-14,Bucks
201575,UTA,13-14,Jazz
203148,NOP,13-14,Pelicans
201572,BKN,13-14,Nets
201957,PHI,13-14,76ers
201228,IND,13-14,Pacers
203468,POR,13-14,Blazers
101139,CLE,13-14,Cavaliers
201171,SAC,13-14,Kings
2430,CHI,13-14,Bulls
2546,NYK,13-14,Knicks
2406,OKC,13-14,Thunder
203467,CLE,13-14,Cavaliers
201858,ATL,13-14,Hawks
203810,PHI,13-14,76ers
202718,HOU,13-14,Rockets
101112,PHX,13-14,Suns
101111,DET,13-14,Pistons
201978,MIN,13-14,Timberwolves
1497,DET,13-14,Pistons
2365,MIA,13-14,Heat
203569,BOS,13-14,Celtics
2547,MIA,13-14,Heat
203142,IND,13-14,Pacers
201604,CHA,13-14,Hornets
203187,BOS,13-14,Celtics
2549,LAL,13-14,Lakers
101108,LAC,13-14,Clippers
202698,WAS,13-14,Wizards
203147,NYK,13-14,Knicks
202874,MIL,13-14,Bucks
101236,TOR,13-14,Raptors
203469,CHA,13-14,Hornets
202332,NYK,13-14,Knicks
201147,MIN,13-14,Timberwolves
202709,SAS,13-14,Spurs
201584,MEM,13-14,Grizzlies
201571,CHI,13-14,Bulls
203474,MIL,13-14,Bucks
201591,CHA,13-14,Hornets
203081,POR,13-14,Blazers
202345,SAS,13-14,Spurs
202350,PHI,13-14,76ers
101122,LAC,13-14,Clippers
201980,SAS,13-14,Spurs
201967,MIN,13-14,Timberwolves
203130,PHI,13-14,76ers
203121,NOP,13-14,Pelicans
202721,MEM,13-14,Grizzlies
201589,DEN,13-14,Nuggets
201954,LAC,13-14,Clippers
101135,GSW,13-14,Warriors
