PLAYER_ID,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PIE,SEASON
1627773,101.2,101.5,-0.3,0.038,0.4,6.1,0.045,0.172,0.106,15.2,0.464,0.472,0.043,16-17
201166,101.8,103.4,-1.6,0.216,1.89,24.6,0.019,0.056,0.037,13.0,0.483,0.507,0.062,16-17
203932,107.2,110.4,-3.1,0.097,1.69,12.5,0.048,0.124,0.086,7.4,0.499,0.53,0.088,16-17
1626151,79.4,100.0,-20.6,0.375,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.102,0.0,16-17
203940,101.8,98.6,3.2,0.089,0.88,9.0,0.06,0.179,0.117,10.3,0.454,0.505,0.081,16-17
201143,112.1,107.2,4.8,0.239,2.93,25.7,0.044,0.162,0.105,8.8,0.527,0.553,0.125,16-17
2744,102.2,107.6,-5.4,0.114,1.73,9.5,0.077,0.225,0.148,5.5,0.499,0.526,0.133,16-17
202329,108.1,107.1,0.9,0.082,1.05,13.8,0.044,0.204,0.126,13.1,0.468,0.506,0.092,16-17
101187,101.9,112.2,-10.3,0.052,1.57,10.6,0.01,0.067,0.039,6.7,0.463,0.494,0.023,16-17
1626210,106.2,105.1,1.2,0.049,0.62,6.1,0.121,0.255,0.188,9.8,0.517,0.547,0.127,16-17
202692,104.4,104.9,-0.5,0.074,0.86,8.7,0.026,0.158,0.091,10.1,0.45,0.501,0.087,16-17
203518,107.2,107.8,-0.6,0.055,1.21,9.3,0.016,0.066,0.04,7.6,0.531,0.56,0.052,16-17
203458,100.8,111.9,-11.1,0.043,0.43,6.3,0.091,0.222,0.154,14.5,0.5,0.553,0.095,16-17
1627816,105.8,115.9,-10.0,0.052,1.67,7.6,0.065,0.122,0.092,4.5,0.519,0.548,0.08,16-17
201582,100.2,105.3,-5.1,0.031,0.39,5.1,0.076,0.2,0.14,13.1,0.5,0.529,0.088,16-17
203459,106.8,109.7,-2.9,0.063,1.52,11.0,0.008,0.091,0.05,7.3,0.572,0.602,0.074,16-17
202087,104.2,103.3,0.9,0.092,1.5,21.4,0.043,0.11,0.077,14.3,0.214,0.306,0.008,16-17
101161,112.3,104.6,7.7,0.125,1.82,22.2,0.074,0.15,0.113,12.2,0.612,0.628,0.091,16-17
2760,101.5,114.6,-13.1,0.152,1.25,27.0,0.12,0.0,0.0,21.6,0.357,0.478,0.048,16-17
203083,104.3,109.9,-5.6,0.06,0.59,6.9,0.132,0.341,0.229,11.6,0.531,0.518,0.136,16-17
2738,114.1,101.7,12.4,0.169,4.5,33.4,0.027,0.114,0.074,7.4,0.605,0.624,0.102,16-17
203460,108.1,104.7,3.4,0.045,1.55,12.3,0.039,0.124,0.081,7.9,0.513,0.51,0.059,16-17
101106,95.1,97.4,-2.2,0.133,1.14,27.5,0.096,0.286,0.189,24.2,0.469,0.46,0.092,16-17
1626150,102.8,102.9,0.0,0.209,2.33,27.0,0.015,0.079,0.046,11.6,0.385,0.477,0.053,16-17
203094,95.4,113.1,-17.7,0.047,0.59,7.0,0.045,0.133,0.089,11.9,0.41,0.427,0.031,16-17
