PLAYER_ID,SEASON
1627773,16-17
201166,16-17
203932,16-17
1626151,16-17
203940,16-17
201143,16-17
2744,16-17
202329,16-17
101187,16-17
1626210,16-17
202692,16-17
203518,16-17
203458,16-17
1627816,16-17
201582,16-17
203459,16-17
202087,16-17
101161,16-17
2760,16-17
203083,16-17
2738,16-17
203460,16-17
101106,16-17
1626150,16-17
203094,16-17
203952,16-17
203461,16-17
1626148,16-17
203076,16-17
201627,16-17
201229,16-17
203462,16-17
202620,16-17
203382,16-17
201167,16-17
203085,16-17
202340,16-17
1626253,16-17
1627791,16-17
203463,16-17
2757,16-17
202687,16-17
201933,16-17
1626246,16-17
201628,16-17
1626171,16-17
202711,16-17
2564,16-17
203078,16-17
201148,16-17
101138,16-17
1627742,16-17
201943,16-17
202688,16-17
201575,16-17
203148,16-17
1627362,16-17
1627744,16-17
201572,16-17
203998,16-17
1627854,16-17
1627741,16-17
201228,16-17
203912,16-17
203468,16-17
101139,16-17
1626166,16-17
1627747,16-17
2546,16-17
202718,16-17
101112,16-17
1626184,16-17
1627767,16-17
1627778,16-17
2365,16-17
1626191,16-17
101108,16-17
1626174,16-17
203991,16-17
203469,16-17
202332,16-17
201147,16-17
202709,16-17
201584,16-17
1626245,16-17
1626156,16-17
201571,16-17
2563,16-17
1627745,16-17
203081,16-17
204014,16-17
1627849,16-17
201568,16-17
201980,16-17
201967,16-17
203957,16-17
1627863,16-17
203967,16-17
201589,16-17
201954,16-17
1626199,16-17
101135,16-17
1628021,16-17
2561,16-17
202722,16-17
201599,16-17
202732,16-17
1627761,16-17
201942,16-17
202326,16-17
201960,16-17
1627749,16-17
1626153,16-17
1627743,16-17
203471,16-17
1627756,16-17
101114,16-17
202324,16-17
1627884,16-17
201565,16-17
202682,16-17
1626164,16-17
2734,16-17
203473,16-17
1627738,16-17
1627754,16-17
203079,16-17
1717,16-17
1627734,16-17
202700,16-17
1627827,16-17
203926,16-17
1627733,16-17
203110,16-17
2730,16-17
203939,16-17
2548,16-17
202734,16-17
202334,16-17
204002,16-17
203901,16-17
202407,16-17
1626144,16-17
202683,16-17
202339,16-17
201569,16-17
101141,16-17
203095,16-17
202323,16-17
1626163,16-17
1627832,16-17
202066,16-17
203914,16-17
202390,16-17
1627780,16-17
201588,16-17
1627777,16-17
1627834,16-17
101123,16-17
201945,16-17
203507,16-17
203922,16-17
201609,16-17
202330,16-17
203476,16-17
202328,16-17
202349,16-17
203084,16-17
202355,16-17
1627740,16-17
203138,16-17
203546,16-17
101133,16-17
202697,16-17
203477,16-17
1627819,16-17
202738,16-17
1627785,16-17
202397,16-17
1627826,16-17
200826,16-17
200755,16-17
2747,16-17
203210,16-17
201580,16-17
203953,16-17
203109,16-17
1626143,16-17
1627774,16-17
1627751,16-17
2037,16-17
1627750,16-17
2749,16-17
203516,16-17
201935,16-17
201949,16-17
2592,16-17
203949,16-17
203923,16-17
201162,16-17
203096,16-17
204067,16-17
1626185,16-17
203950,16-17
101127,16-17
1627784,16-17
201160,16-17
1891,16-17
1627759,16-17
201145,16-17
201952,16-17
203481,16-17
203924,16-17
203087,16-17
202391,16-17
1626170,16-17
201573,16-17
202710,16-17
201149,16-17
201975,16-17
203925,16-17
204060,16-17
2207,16-17
1626202,16-17
201202,16-17
1627762,16-17
203954,16-17
203530,16-17
203089,16-17
203098,16-17
101249,16-17
202322,16-17
203948,16-17
202720,16-17
201973,16-17
202685,16-17
1626780,16-17
203613,16-17
203903,16-17
202348,16-17
200770,16-17
201941,16-17
203895,16-17
1626175,16-17
101181,16-17
203962,16-17
201177,16-17
1626196,16-17
201950,16-17
1627823,16-17
203944,16-17
1626147,16-17
203120,16-17
202712,16-17
203200,16-17
1626159,16-17
203994,16-17
203909,16-17
1626157,16-17
202695,16-17
1627770,16-17
203482,16-17
1626162,16-17
202689,16-17
202702,16-17
203145,16-17
203484,16-17
201142,16-17
201567,16-17
202338,16-17
1626172,16-17
203114,16-17
202691,16-17
201585,16-17
1627739,16-17
2743,16-17
204001,16-17
203937,16-17
2594,16-17
200768,16-17
203124,16-17
202713,16-17
1627787,16-17
202681,16-17
200746,16-17
203934,16-17
202362,16-17
202498,16-17
204038,16-17
1626204,16-17
202336,16-17
202730,16-17
2544,16-17
2571,16-17
101150,16-17
201601,16-17
203512,16-17
2449,16-17
202337,16-17
2736,16-17
1627781,16-17
1627763,16-17
1627098,16-17
1627736,16-17
202412,16-17
1938,16-17
201188,16-17
1626273,16-17
101162,16-17
201158,16-17
1627875,16-17
202694,16-17
203935,16-17
201977,16-17
1626209,16-17
202693,16-17
1627737,16-17
201578,16-17
1627850,16-17
101107,16-17
203486,16-17
2440,16-17
203521,16-17
203090,16-17
1626254,16-17
1897,16-17
203086,16-17
201563,16-17
203487,16-17
1627771,16-17
203077,16-17
201144,16-17
2399,16-17
2034,16-17
203488,16-17
203118,16-17
1627861,16-17
203101,16-17
1627851,16-17
203141,16-17
101145,16-17
1626149,16-17
1626167,16-17
202357,16-17
2403,16-17
203457,16-17
2555,16-17
201156,16-17
201587,16-17
1627852,16-17
1627879,16-17
203917,16-17
203999,16-17
202703,16-17
202696,16-17
203943,16-17
1626181,16-17
202708,16-17
1627855,16-17
201600,16-17
201956,16-17
203490,16-17
200782,16-17
1627783,16-17
1626192,16-17
1627868,16-17
201976,16-17
1627775,16-17
202335,16-17
201988,16-17
2200,16-17
202331,16-17
200794,16-17
1718,16-17
1627835,16-17
203510,16-17
203112,16-17
1626188,16-17
1626154,16-17
200765,16-17
1626176,16-17
201196,16-17
200751,16-17
1626173,16-17
203526,16-17
101109,16-17
203493,16-17
202704,16-17
202130,16-17
2210,16-17
1626158,16-17
201937,16-17
203496,16-17
201577,16-17
203918,16-17
203585,16-17
201155,16-17
1627758,16-17
1626178,16-17
101179,16-17
201579,16-17
200752,16-17
203497,16-17
201566,16-17
201583,16-17
203527,16-17
1626257,16-17
1626155,16-17
2756,16-17
203930,16-17
203902,16-17
201586,16-17
200771,16-17
203552,16-17
203498,16-17
203894,16-17
2733,16-17
1627848,16-17
1627815,16-17
202714,16-17
1627746,16-17
203524,16-17
203915,16-17
201150,16-17
1626169,16-17
201939,16-17
1627757,16-17
200779,16-17
203500,16-17
204456,16-17
203933,16-17
201959,16-17
204028,16-17
1627752,16-17
203093,16-17
203082,16-17
1626179,16-17
200757,16-17
201152,16-17
203080,16-17
1627748,16-17
201168,16-17
204025,16-17
203501,16-17
1627817,16-17
202389,16-17
1627789,16-17
202699,16-17
203107,16-17
201962,16-17
2754,16-17
2225,16-17
203503,16-17
1626203,16-17
2772,16-17
202344,16-17
203504,16-17
1626168,16-17
202684,16-17
203584,16-17
1627786,16-17
201951,16-17
203898,16-17
204020,16-17
1627755,16-17
203092,16-17
201936,16-17
2199,16-17
1626145,16-17
2617,16-17
203506,16-17
1713,16-17
1627735,16-17
201961,16-17
1627782,16-17
202325,16-17
202083,16-17
203115,16-17
1626161,16-17
203186,16-17
1626195,16-17
201163,16-17
1627812,16-17
203897,16-17
2216,16-17
2585,16-17
