PLAYER_ID,SEASON
201985,14-15
201166,14-15
203932,14-15
203940,14-15
201143,14-15
2744,14-15
202329,14-15
101187,14-15
202692,14-15
203945,14-15
203458,14-15
203144,14-15
201582,14-15
203459,14-15
202087,14-15
2405,14-15
101161,14-15
2760,14-15
203958,14-15
203083,14-15
2738,14-15
1889,14-15
203460,14-15
200745,14-15
1905,14-15
101106,14-15
203094,14-15
203952,14-15
203461,14-15
203076,14-15
201627,14-15
201229,14-15
203462,14-15
202620,14-15
203382,14-15
201167,14-15
201948,14-15
203085,14-15
202340,14-15
2732,14-15
203463,14-15
2757,14-15
203108,14-15
202687,14-15
201933,14-15
202711,14-15
2564,14-15
203078,14-15
201148,14-15
101138,14-15
203561,14-15
201943,14-15
202688,14-15
201575,14-15
2217,14-15
203148,14-15
201572,14-15
203998,14-15
203955,14-15
201228,14-15
203912,14-15
203468,14-15
101139,14-15
203946,14-15
201171,14-15
2430,14-15
2546,14-15
2406,14-15
201858,14-15
202718,14-15
101112,14-15
101111,14-15
201978,14-15
2365,14-15
2547,14-15
203142,14-15
201604,14-15
203187,14-15
2549,14-15
101108,14-15
101236,14-15
203921,14-15
203991,14-15
203469,14-15
202332,14-15
201147,14-15
203928,14-15
202709,14-15
201584,14-15
201571,14-15
2563,14-15
203081,14-15
204014,14-15
201568,14-15
101122,14-15
201980,14-15
201967,14-15
203957,14-15
203121,14-15
202721,14-15
201589,14-15
201954,14-15
101135,14-15
204065,14-15
204033,14-15
2561,14-15
201599,14-15
201971,14-15
201942,14-15
202326,14-15
201960,14-15
203471,14-15
101114,14-15
202324,14-15
201565,14-15
202682,14-15
2734,14-15
203906,14-15
203473,14-15
203079,14-15
1717,14-15
202388,14-15
202700,14-15
2748,14-15
203926,14-15
203110,14-15
2400,14-15
204079,14-15
202779,14-15
2730,14-15
203939,14-15
2548,14-15
202734,14-15
2853,14-15
201947,14-15
202334,14-15
202327,14-15
203901,14-15
202407,14-15
202343,14-15
1882,14-15
202683,14-15
202339,14-15
201569,14-15
203961,14-15
203475,14-15
101141,14-15
203095,14-15
202323,14-15
203105,14-15
101128,14-15
203128,14-15
203539,14-15
202066,14-15
203914,14-15
202390,14-15
201588,14-15
101123,14-15
201945,14-15
2222,14-15
203507,14-15
203540,14-15
201175,14-15
203318,14-15
203922,14-15
201609,14-15
202330,14-15
203476,14-15
203511,14-15
202328,14-15
202962,14-15
201880,14-15
202349,14-15
203084,14-15
202355,14-15
2045,14-15
203156,14-15
201611,14-15
203138,14-15
203546,14-15
101133,14-15
202697,14-15
203477,14-15
202738,14-15
202397,14-15
200826,14-15
201581,14-15
200755,14-15
2747,14-15
203960,14-15
203210,14-15
201580,14-15
203913,14-15
203953,14-15
204022,14-15
203109,14-15
203479,14-15
2037,14-15
2749,14-15
203516,14-15
201935,14-15
201949,14-15
2592,14-15
203949,14-15
203923,14-15
2457,14-15
203099,14-15
201162,14-15
203096,14-15
203950,14-15
101127,14-15
101131,14-15
2202,14-15
201160,14-15
1891,14-15
201574,14-15
202399,14-15
201965,14-15
201145,14-15
201952,14-15
203481,14-15
203106,14-15
203924,14-15
202077,14-15
202379,14-15
203087,14-15
202391,14-15
202366,14-15
203968,14-15
201573,14-15
202690,14-15
202710,14-15
201149,14-15
201975,14-15
203925,14-15
204060,14-15
2207,14-15
201202,14-15
200777,14-15
201595,14-15
203530,14-15
203089,14-15
203098,14-15
101249,14-15
2422,14-15
202322,14-15
203948,14-15
202720,14-15
201973,14-15
202685,14-15
203919,14-15
203903,14-15
200770,14-15
202706,14-15
201941,14-15
203268,14-15
101181,14-15
201177,14-15
2746,14-15
201950,14-15
203944,14-15
203120,14-15
203200,14-15
203994,14-15
203909,14-15
203564,14-15
202695,14-15
203482,14-15
202689,14-15
203088,14-15
2570,14-15
202702,14-15
203145,14-15
203484,14-15
2030,14-15
201142,14-15
708,14-15
201567,14-15
2755,14-15
202338,14-15
203114,14-15
2550,14-15
202691,14-15
977,14-15
201585,14-15
203123,14-15
2743,14-15
203937,14-15
2594,14-15
200768,14-15
203124,14-15
202713,14-15
202681,14-15
200746,14-15
202362,14-15
202498,14-15
202361,14-15
204038,14-15
203580,14-15
202336,14-15
202730,14-15
2544,14-15
2571,14-15
201991,14-15
203485,14-15
200811,14-15
101150,14-15
201601,14-15
203512,14-15
2449,14-15
202337,14-15
2557,14-15
2736,14-15
202723,14-15
202952,14-15
1938,14-15
201188,14-15
101162,14-15
201158,14-15
202694,14-15
203935,14-15
201977,14-15
201596,14-15
203900,14-15
202693,14-15
201578,14-15
101110,14-15
101107,14-15
203486,14-15
2440,14-15
2588,14-15
203521,14-15
203090,14-15
203086,14-15
201563,14-15
203487,14-15
203077,14-15
201144,14-15
2399,14-15
2034,14-15
203488,14-15
203118,14-15
203101,14-15
203545,14-15
203141,14-15
203956,14-15
2590,14-15
101145,14-15
101126,14-15
203489,14-15
1737,14-15
2403,14-15
203457,14-15
201979,14-15
2555,14-15
203910,14-15
201156,14-15
201587,14-15
203917,14-15
202703,14-15
201593,14-15
202696,14-15
203943,14-15
202708,14-15
201564,14-15
203136,14-15
201600,14-15
201956,14-15
203490,14-15
200782,14-15
203798,14-15
203143,14-15
201976,14-15
203565,14-15
202335,14-15
201988,14-15
2200,14-15
202331,14-15
200794,14-15
1718,14-15
203544,14-15
203103,14-15
203515,14-15
203112,14-15
203113,14-15
202347,14-15
200765,14-15
201196,14-15
200751,14-15
2446,14-15
203492,14-15
101109,14-15
203493,14-15
2501,14-15
202704,14-15
202130,14-15
2210,14-15
203495,14-15
201937,14-15
203133,14-15
203496,14-15
203135,14-15
201577,14-15
203918,14-15
201155,14-15
101179,14-15
101142,14-15
201579,14-15
200752,14-15
203497,14-15
203893,14-15
201566,14-15
201583,14-15
200797,14-15
203527,14-15
2223,14-15
203930,14-15
2742,14-15
201586,14-15
203508,14-15
203552,14-15
203498,14-15
203894,14-15
203499,14-15
200769,14-15
2733,14-15
101183,14-15
1890,14-15
200761,14-15
203963,14-15
202714,14-15
204021,14-15
203524,14-15
203915,14-15
201150,14-15
201939,14-15
2581,14-15
200779,14-15
203500,14-15
203933,14-15
201959,14-15
204028,14-15
2419,14-15
203093,14-15
203082,14-15
200757,14-15
201152,14-15
203080,14-15
201168,14-15
1495,14-15
204025,14-15
203501,14-15
202389,14-15
202699,14-15
201962,14-15
2754,14-15
2225,14-15
203503,14-15
