PLAYER_ID,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,SEASON
203932,2.2,2.1,1.9,7.5,10.4,7.4,8.1,33.5,18-19
1628988,1.0,0.3,0.9,1.7,3.9,3.6,3.5,12.0,18-19
1627846,0.8,0.5,0.7,1.9,3.7,3.5,3.3,11.4,18-19
201143,1.6,1.6,0.7,6.5,8.2,8.5,8.0,27.8,18-19
202329,1.5,1.6,1.3,3.8,8.2,7.9,7.9,28.2,18-19
1626210,0.0,1.6,0.0,2.8,1.0,1.4,1.8,5.2,18-19
202692,1.0,1.2,0.6,3.4,7.8,5.6,5.9,24.1,18-19
203518,0.4,0.6,0.6,0.6,6.6,5.2,5.3,19.4,18-19
1627936,2.1,1.0,1.1,3.8,8.2,6.3,6.6,19.5,18-19
203458,1.4,2.1,0.8,6.2,8.4,5.8,7.4,19.5,18-19
1627816,0.6,1.1,0.4,3.0,7.1,5.3,4.5,15.4,18-19
1628035,0.6,0.9,0.9,2.4,4.9,3.8,4.6,14.2,18-19
1628993,0.1,0.5,0.0,0.4,1.3,2.7,2.4,5.0,18-19
203459,1.1,0.8,1.4,1.3,9.7,8.7,5.9,26.3,18-19
1629019,1.7,0.9,1.5,4.2,8.3,7.4,5.6,24.5,18-19
1628518,0.5,0.7,0.3,1.7,0.5,0.9,1.9,5.8,18-19
101161,0.5,0.8,0.3,2.5,4.1,2.5,3.0,11.5,18-19
203083,3.1,5.5,1.2,13.8,10.9,8.1,8.6,34.4,18-19
2738,1.2,0.4,1.2,2.8,7.8,6.1,6.5,21.6,18-19
201281,0.0,0.0,0.0,0.0,0.5,1.0,0.5,2.5,18-19
101106,0.2,0.9,0.0,3.1,4.1,2.7,4.5,10.5,18-19
1626150,0.8,0.2,0.3,1.2,4.9,2.2,2.9,9.5,18-19
203952,2.4,1.7,1.9,7.4,11.1,11.1,9.8,35.4,18-19
1629014,0.5,0.3,0.5,1.2,4.1,2.5,2.4,7.9,18-19
1629116,0.0,0.5,0.0,1.0,1.0,0.0,2.0,8.0,18-19
1627790,1.0,2.4,0.4,5.7,6.2,4.5,5.8,18.8,18-19
203076,4.4,4.8,2.8,14.3,11.7,8.7,10.6,33.8,18-19
201229,0.8,0.5,0.7,0.4,4.7,5.2,3.8,16.2,18-19
1628469,0.9,0.4,0.8,3.2,4.6,3.8,4.0,14.9,18-19
203382,0.7,1.5,0.2,3.0,5.4,4.1,4.3,15.3,18-19
203085,1.8,0.5,0.9,3.3,8.8,7.7,8.3,28.2,18-19
202340,1.5,1.0,1.2,2.4,11.3,8.5,10.5,31.5,18-19
1629168,0.9,0.0,1.3,0.9,2.9,1.9,1.1,9.7,18-19
1628389,1.5,2.0,0.9,6.4,8.3,6.2,5.5,20.3,18-19
203463,0.6,0.2,1.0,0.4,2.9,2.6,2.9,8.9,18-19
1627732,2.4,2.2,3.3,13.3,13.4,8.7,11.1,37.6,18-19
1628656,0.0,0.0,0.0,4.0,4.0,3.3,2.5,13.5,18-19
202687,0.5,1.1,0.1,3.1,3.9,4.0,4.4,14.4,18-19
201933,3.2,2.0,1.3,10.7,11.7,7.8,9.2,35.6,18-19
1626246,1.2,2.3,0.3,5.0,4.5,3.4,4.2,11.3,18-19
1626171,2.2,2.3,1.3,6.7,8.2,7.3,6.4,28.2,18-19
203992,1.9,1.2,1.7,4.8,9.8,8.4,7.2,27.9,18-19
202711,3.8,1.6,3.3,7.2,10.0,9.3,8.9,30.0,18-19
1629045,0.4,1.0,1.1,1.8,4.4,3.6,5.0,13.0,18-19
202954,0.8,0.3,1.3,1.4,2.9,2.9,2.3,8.7,18-19
203078,3.6,1.8,3.5,10.0,12.9,10.8,10.6,40.1,18-19
