PLAYER_ID,PASSES_MADE,PASSES_RECEIVED,SECONDARY_AST,POTENTIAL_AST,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,SEASON
1627773,4.5,5.4,0.0,1.0,0.2,0.04,0.05,16-17
201166,21.1,24.7,0.2,4.2,2.3,0.088,0.107,16-17
203932,24.7,25.6,0.4,4.0,2.4,0.076,0.098,16-17
1626151,4.4,4.2,0.0,0.8,0.6,0.136,0.136,16-17
203940,11.8,8.4,0.0,1.2,0.5,0.033,0.042,16-17
201143,51.0,46.2,0.4,9.7,5.8,0.097,0.114,16-17
2744,15.8,15.5,0.2,1.8,1.0,0.055,0.066,16-17
202329,29.9,19.7,0.1,3.0,1.9,0.054,0.063,16-17
101187,6.6,7.7,0.1,0.7,0.5,0.055,0.075,16-17
1626210,15.1,11.2,0.1,1.2,0.6,0.032,0.04,16-17
202692,14.9,17.7,0.2,1.9,1.0,0.048,0.064,16-17
203518,12.4,13.3,0.0,1.4,0.7,0.047,0.053,16-17
203458,19.8,14.5,0.1,1.5,0.8,0.03,0.039,16-17
1627816,42.2,31.8,0.0,2.2,1.2,0.02,0.028,16-17
201582,18.4,11.5,0.1,0.8,0.5,0.017,0.028,16-17
203459,20.8,22.5,0.2,2.4,1.5,0.057,0.07,16-17
202087,5.4,4.6,0.0,1.0,0.5,0.086,0.1,16-17
101161,23.9,18.7,0.2,3.0,2.2,0.073,0.09,16-17
2760,11.7,7.4,0.0,1.7,0.7,0.061,0.061,16-17
203083,22.9,22.4,0.2,2.4,1.4,0.048,0.061,16-17
2738,33.2,30.1,0.5,6.6,4.2,0.103,0.126,16-17
203460,25.0,17.7,0.2,2.5,1.3,0.04,0.052,16-17
101106,30.5,18.7,0.1,4.2,2.0,0.06,0.067,16-17
1626150,35.1,38.6,0.5,6.8,3.4,0.078,0.097,16-17
203094,9.9,7.4,0.1,0.5,0.4,0.027,0.043,16-17
203952,25.6,40.2,0.5,5.2,3.0,0.09,0.119,16-17
203461,14.1,10.3,0.1,1.3,0.7,0.035,0.048,16-17
1626148,12.3,12.0,0.0,1.3,0.9,0.059,0.074,16-17
203076,46.3,46.4,0.3,4.4,2.6,0.045,0.056,16-17
201627,6.9,9.8,0.0,1.0,0.6,0.074,0.083,16-17
201229,26.3,20.9,0.2,2.4,1.5,0.045,0.056,16-17
203462,18.5,22.1,0.1,3.1,1.8,0.086,0.097,16-17
202620,5.6,4.1,0.0,1.0,0.1,0.044,0.022,16-17
203382,9.1,9.2,0.0,1.2,0.4,0.047,0.048,16-17
201167,24.8,26.7,0.2,3.1,1.7,0.052,0.069,16-17
203085,35.8,42.2,0.4,5.3,3.4,0.077,0.096,16-17
202340,31.8,38.0,0.5,4.9,3.0,0.07,0.094,16-17
1626253,8.3,7.0,0.0,0.8,0.3,0.0,0.03,16-17
1627791,2.3,2.7,0.0,0.3,0.3,0.0,0.143,16-17
203463,17.4,19.8,0.1,2.0,1.0,0.048,0.057,16-17
2757,28.3,31.8,0.2,6.4,3.8,0.119,0.134,16-17
202687,30.6,17.4,0.1,2.1,1.1,0.03,0.037,16-17
201933,56.1,55.1,0.3,9.1,5.6,0.088,0.1,16-17
1626246,6.3,6.9,0.1,0.6,0.5,0.041,0.081,16-17
201628,5.0,6.9,0.1,0.8,0.7,0.113,0.137,16-17
1626171,23.9,16.5,0.1,1.4,0.7,0.023,0.029,16-17
202711,21.1,28.2,0.4,3.0,2.0,0.065,0.092,16-17
2564,27.5,24.7,0.2,5.0,2.8,0.085,0.103,16-17
203078,31.3,44.0,0.7,6.7,4.5,0.111,0.143,16-17
201148,14.5,12.5,0.0,1.2,0.7,0.037,0.049,16-17
101138,12.2,10.9,0.1,0.9,0.6,0.033,0.046,16-17
1627742,32.4,33.6,0.2,4.2,2.4,0.065,0.074,16-17
201943,44.1,47.6,0.5,10.2,5.9,0.111,0.134,16-17
202688,31.1,38.9,0.3,5.5,2.9,0.078,0.094,16-17
201575,14.0,14.7,0.1,1.6,1.0,0.068,0.071,16-17
203148,16.8,19.4,0.2,2.5,1.5,0.076,0.089,16-17
1627362,18.3,19.0,0.1,1.9,1.2,0.057,0.063,16-17
1627744,4.7,4.3,0.0,0.3,0.3,0.071,0.071,16-17
201572,29.9,39.0,0.1,4.9,2.8,0.078,0.092,16-17
203998,4.5,3.5,0.0,0.6,0.5,0.111,0.111,16-17
1627854,8.9,11.0,0.1,1.3,0.8,0.074,0.09,16-17
1627741,21.1,24.2,0.3,2.9,1.9,0.07,0.089,16-17
201228,20.4,21.0,0.1,4.3,2.1,0.09,0.105,16-17
203912,3.8,4.5,0.0,0.8,0.6,0.145,0.157,16-17
203468,39.7,53.9,0.6,7.9,4.6,0.09,0.115,16-17
101139,16.9,18.2,0.1,1.5,0.9,0.037,0.051,16-17
1626166,21.7,25.4,0.2,4.1,2.2,0.082,0.1,16-17
1627747,21.6,22.6,0.2,3.8,2.3,0.091,0.108,16-17
2546,35.4,45.4,0.3,6.0,3.4,0.081,0.096,16-17
202718,20.8,23.1,0.3,3.6,2.0,0.078,0.098,16-17
101112,23.9,17.5,0.3,1.4,1.1,0.025,0.044,16-17
1626184,20.9,23.7,0.2,3.2,1.6,0.063,0.076,16-17
1627767,11.9,7.3,0.1,0.5,0.5,0.02,0.045,16-17
1627778,10.2,6.6,0.0,1.0,0.6,0.059,0.059,16-17
2365,9.8,5.9,0.0,0.6,0.3,0.042,0.034,16-17
1626191,6.6,4.4,0.1,0.4,0.2,0.019,0.029,16-17
101108,64.7,71.8,1.0,17.3,11.3,0.143,0.174,16-17
1626174,6.8,4.6,0.1,0.5,0.2,0.022,0.034,16-17
203991,32.0,20.9,0.3,2.0,1.3,0.03,0.041,16-17
203469,19.3,20.9,0.2,3.9,2.1,0.083,0.11,16-17
202332,9.6,5.2,0.1,0.9,0.6,0.042,0.059,16-17
201147,11.6,11.5,0.1,2.2,1.4,0.102,0.122,16-17
202709,40.3,44.5,0.4,7.3,4.0,0.082,0.099,16-17
201584,30.9,35.7,0.3,4.8,2.9,0.075,0.093,16-17
1626245,16.3,11.3,0.1,1.4,0.8,0.037,0.047,16-17
1626156,49.6,57.4,0.5,9.7,5.8,0.097,0.117,16-17
201571,32.7,39.2,0.4,5.9,3.4,0.082,0.103,16-17
2563,18.0,24.0,0.0,2.0,1.0,0.056,0.056,16-17
1627745,8.6,5.9,0.0,0.7,0.1,0.0,0.012,16-17
203081,58.1,73.5,0.7,11.9,7.3,0.101,0.125,16-17
204014,8.9,7.5,0.0,1.2,0.5,0.05,0.057,16-17
1627849,3.5,2.6,0.0,0.2,0.2,0.045,0.045,16-17
201568,31.1,32.9,0.4,4.3,2.7,0.068,0.087,16-17
201980,30.4,26.4,0.2,3.3,2.3,0.061,0.076,16-17
201967,20.8,14.1,0.1,1.3,0.8,0.027,0.036,16-17
203957,24.1,27.8,0.2,3.3,2.2,0.07,0.093,16-17
1627863,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16-17
203967,42.7,39.8,0.3,4.4,2.8,0.053,0.066,16-17
201589,18.1,15.6,0.1,1.9,1.3,0.057,0.073,16-17
