PLAYER_ID,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_FG3A,PULL_UP_PTS,PULL_UP_EFG_PCT,SEASON
203932,1.2,3.4,0.362,1.2,2.8,0.419,18-19
1628988,0.9,2.6,0.338,1.2,2.1,0.408,18-19
1627846,0.1,0.2,0.308,0.1,0.2,0.385,18-19
201143,0.3,0.7,0.458,0.0,0.6,0.458,18-19
202329,0.1,0.5,0.171,0.2,0.2,0.195,18-19
1626210,0.0,0.0,,0.0,0.0,,18-19
202692,0.6,2.4,0.27,1.2,1.6,0.342,18-19
203518,0.3,0.5,0.5,0.4,0.7,0.688,18-19
1627936,0.8,2.0,0.388,0.8,2.0,0.5,18-19
203458,0.0,0.1,0.333,0.1,0.1,0.389,18-19
1627816,0.0,0.0,0.0,0.0,0.0,0.0,18-19
1628035,0.1,0.3,0.368,0.0,0.2,0.368,18-19
1628993,0.1,0.2,0.333,0.0,0.1,0.333,18-19
203459,0.5,1.8,0.278,0.7,1.2,0.329,18-19
1629019,1.3,3.4,0.365,1.0,2.8,0.416,18-19
1628518,0.0,0.0,,,0.0,,18-19
101161,0.0,0.0,1.0,0.0,0.1,1.0,18-19
203083,0.1,0.6,0.182,0.2,0.2,0.205,18-19
2738,0.2,0.6,0.3,0.2,0.4,0.35,18-19
201281,0.0,0.3,0.0,0.0,0.0,0.0,18-19
101106,0.0,0.1,0.0,,0.0,0.0,18-19
1626150,0.2,1.3,0.182,0.7,0.6,0.227,18-19
203952,2.0,6.2,0.325,1.4,4.4,0.356,18-19
1629014,0.6,1.3,0.462,0.6,1.5,0.558,18-19
1629116,0.0,0.0,,,0.0,,18-19
1627790,0.0,0.1,0.125,,0.0,0.125,18-19
203076,1.4,4.1,0.332,0.4,2.7,0.334,18-19
201229,0.1,0.2,0.385,0.1,0.2,0.5,18-19
1628469,1.2,3.5,0.342,0.5,2.6,0.364,18-19
203382,0.0,0.0,,0.0,0.0,,18-19
203085,0.6,2.2,0.28,1.8,1.7,0.396,18-19
202340,1.6,3.7,0.427,0.9,3.5,0.468,18-19
1629168,0.4,0.7,0.6,0.0,0.9,0.6,18-19
1628389,0.2,0.4,0.486,0.0,0.4,0.514,18-19
203463,0.4,0.9,0.444,0.4,1.1,0.556,18-19
1627732,0.3,1.2,0.204,0.1,0.5,0.204,18-19
1628656,1.3,3.3,0.385,0.5,2.5,0.385,18-19
202687,0.1,0.1,0.8,,0.1,0.8,18-19
201933,1.7,5.2,0.332,4.0,4.9,0.471,18-19
1626246,0.1,0.2,0.385,0.0,0.2,0.385,18-19
1626171,0.5,1.3,0.364,0.1,1.0,0.371,18-19
203992,1.6,4.6,0.358,2.0,3.9,0.425,18-19
202711,1.3,3.3,0.387,1.0,3.0,0.443,18-19
1629045,0.3,0.9,0.286,0.5,0.6,0.357,18-19
202954,0.4,1.1,0.4,0.4,1.1,0.475,18-19
203078,3.0,7.5,0.405,2.9,7.1,0.472,18-19
1629164,0.0,0.5,0.0,0.1,0.0,0.0,18-19
1627742,2.1,4.7,0.441,0.1,4.2,0.447,18-19
202688,1.2,3.0,0.39,1.5,2.9,0.479,18-19
1629102,0.3,0.7,0.4,0.4,0.7,0.5,18-19
201572,0.6,1.4,0.407,0.7,1.4,0.518,18-19
1628971,0.1,0.3,0.261,0.1,0.2,0.283,18-19
203998,0.2,0.6,0.3,0.5,0.5,0.425,18-19
1627854,1.7,3.9,0.425,1.5,3.9,0.498,18-19
1627741,2.7,6.8,0.398,3.0,6.5,0.48,18-19
203710,0.5,0.8,0.667,0.3,1.2,0.75,18-19
203468,4.1,8.9,0.457,3.1,9.3,0.518,18-19
101139,0.5,1.4,0.329,0.6,1.1,0.384,18-19
1628403,0.0,0.3,0.143,0.0,0.1,0.143,18-19
1629244,0.3,0.6,0.5,0.2,0.7,0.583,18-19
1626166,0.8,1.9,0.408,0.7,1.9,0.487,18-19
1627747,1.3,3.9,0.34,2.2,3.4,0.436,18-19
2546,1.5,4.1,0.366,1.2,3.4,0.415,18-19
1626224,1.1,3.1,0.353,1.3,2.6,0.433,18-19
