PLAYER_ID,OREB_CHANCE_PCT,DREB_CHANCE_PCT,REB_CHANCE_PCT_ADJ,SEASON
201166,0.236,0.571,0.474,15-16
203932,0.484,0.681,0.636,15-16
1626151,0.6,0.786,0.778,15-16
203940,0.476,0.664,0.649,15-16
201143,0.45,0.518,0.535,15-16
2744,0.363,0.629,0.606,15-16
202329,0.363,0.626,0.586,15-16
101187,0.083,0.553,0.509,15-16
1626210,0.467,0.8,0.667,15-16
202692,0.195,0.534,0.45,15-16
203458,0.42,0.593,0.56,15-16
1627293,0.613,0.429,0.571,15-16
201582,0.503,0.63,0.626,15-16
203459,0.239,0.612,0.565,15-16
202087,0.343,0.607,0.536,15-16
2405,0.425,0.518,0.517,15-16
101161,0.472,0.545,0.555,15-16
2760,0.411,0.646,0.597,15-16
203083,0.564,0.709,0.685,15-16
2738,0.43,0.622,0.606,15-16
1889,0.375,0.574,0.52,15-16
203460,0.371,0.551,0.508,15-16
200745,0.509,0.511,0.527,15-16
101106,0.599,0.58,0.627,15-16
202726,0.333,0.2,0.25,15-16
203094,0.395,0.665,0.626,15-16
203952,0.314,0.534,0.444,15-16
203461,0.4,0.944,0.719,15-16
1626148,0.209,0.545,0.49,15-16
203076,0.52,0.745,0.713,15-16
201627,0.313,0.584,0.525,15-16
201229,0.398,0.581,0.592,15-16
203462,0.201,0.593,0.473,15-16
203382,0.415,0.588,0.542,15-16
201167,0.153,0.581,0.504,15-16
203085,0.253,0.476,0.442,15-16
202340,0.316,0.503,0.474,15-16
1626253,0.381,0.523,0.492,15-16
203463,0.303,0.461,0.466,15-16
2757,0.195,0.589,0.514,15-16
202687,0.41,0.605,0.57,15-16
201933,0.392,0.59,0.579,15-16
1626246,0.541,0.678,0.644,15-16
1626171,0.446,0.631,0.58,15-16
202711,0.196,0.66,0.528,15-16
2564,0.369,0.527,0.51,15-16
203078,0.297,0.645,0.531,15-16
201148,0.4,0.547,0.512,15-16
1626183,0.5,0.5,0.571,15-16
101138,0.419,0.526,0.512,15-16
201943,0.364,0.597,0.575,15-16
202688,0.288,0.527,0.489,15-16
201575,0.328,0.618,0.611,15-16
203148,0.375,0.614,0.569,15-16
1627362,0.615,0.531,0.61,15-16
201572,0.502,0.565,0.582,15-16
203998,0.333,0.25,0.286,15-16
1626214,0.364,0.625,0.608,15-16
201228,0.385,0.636,0.623,15-16
203912,0.333,0.579,0.6,15-16
203468,0.212,0.52,0.443,15-16
101139,0.284,0.528,0.51,15-16
203946,0.16,0.632,0.452,15-16
1626166,0.196,0.618,0.528,15-16
201171,0.51,0.61,0.624,15-16
2546,0.34,0.709,0.624,15-16
2406,0.556,0.5,0.55,15-16
202718,0.216,0.638,0.572,15-16
101112,0.54,0.564,0.599,15-16
101111,0.348,0.679,0.624,15-16
201978,0.494,0.601,0.61,15-16
2365,0.493,0.585,0.576,15-16
2547,0.4,0.629,0.625,15-16
203142,0.125,0.474,0.4,15-16
203187,0.466,0.603,0.614,15-16
2549,0.583,0.472,0.533,15-16
1626191,0.41,0.473,0.482,15-16
101108,0.234,0.518,0.479,15-16
1626174,0.52,0.568,0.594,15-16
101236,0.0,0.615,0.571,15-16
203921,0.211,0.564,0.481,15-16
1626146,0.5,0.667,0.667,15-16
203991,0.473,0.56,0.547,15-16
203469,0.359,0.534,0.501,15-16
202332,0.462,0.635,0.604,15-16
201147,0.275,0.541,0.485,15-16
203928,0.353,0.588,0.516,15-16
202709,0.199,0.46,0.391,15-16
1626262,0.0,1.0,1.0,15-16
201584,0.28,0.64,0.571,15-16
1626245,0.33,0.554,0.481,15-16
1626156,0.211,0.554,0.461,15-16
201571,0.111,0.558,0.444,15-16
2563,0.111,0.4,0.278,15-16
203081,0.191,0.542,0.458,15-16
203996,0.125,0.69,0.544,15-16
204014,0.556,0.6,0.588,15-16
201568,0.301,0.612,0.554,15-16
201980,0.387,0.49,0.508,15-16
201967,0.354,0.559,0.52,15-16
201589,0.465,0.536,0.56,15-16
201954,0.175,0.551,0.435,15-16
