PLAYER_ID,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,SEASON
201166,0.606,0.394,0.497,0.122,0.403,0.084,0.1,0.077,0.375,0.09,0.91,0.576,0.424,0.261,0.739,15-16
203932,0.755,0.245,0.645,0.089,0.175,0.177,0.18,0.206,0.556,0.517,0.483,0.976,0.024,0.588,0.412,15-16
1626151,0.474,0.526,0.222,0.0,0.5,0.111,0.278,0.056,0.222,1.0,0.0,0.667,0.333,0.8,0.2,15-16
203940,0.779,0.221,0.667,0.242,0.205,0.061,0.128,0.152,0.424,0.591,0.409,0.889,0.111,0.642,0.358,15-16
201143,0.756,0.244,0.706,0.237,0.211,0.091,0.083,0.146,0.469,0.776,0.224,1.0,0.0,0.813,0.187,15-16
2744,1.0,0.0,0.872,0.292,0.0,0.027,0.128,0.139,0.58,0.555,0.445,0.0,0.0,0.555,0.445,15-16
202329,0.515,0.485,0.412,0.083,0.451,0.114,0.137,0.137,0.329,0.595,0.405,0.929,0.071,0.736,0.264,15-16
101187,0.373,0.627,0.277,0.092,0.554,0.138,0.169,0.108,0.185,0.333,0.667,1.0,0.0,0.714,0.286,15-16
1626210,1.0,0.0,0.69,0.069,0.0,0.0,0.31,0.0,0.621,0.5,0.5,0.0,0.0,0.5,0.5,15-16
202692,0.763,0.237,0.51,0.15,0.233,0.124,0.257,0.126,0.359,0.238,0.762,0.625,0.375,0.328,0.672,15-16
203458,0.989,0.011,0.748,0.179,0.004,0.041,0.248,0.129,0.569,0.669,0.331,1.0,0.0,0.67,0.33,15-16
1627293,1.0,0.0,0.818,0.091,0.0,0.091,0.182,0.182,0.727,0.333,0.667,0.0,0.0,0.333,0.667,15-16
201582,0.997,0.003,0.852,0.352,0.0,0.014,0.148,0.094,0.5,0.767,0.233,0.0,0.0,0.767,0.233,15-16
203459,0.58,0.42,0.478,0.272,0.404,0.15,0.118,0.194,0.207,0.769,0.231,0.964,0.036,0.839,0.161,15-16
202087,0.765,0.235,0.708,0.043,0.157,0.326,0.135,0.295,0.665,0.696,0.304,1.0,0.0,0.735,0.265,15-16
2405,1.0,0.0,0.833,0.133,0.0,0.033,0.167,0.157,0.7,0.712,0.288,0.0,0.0,0.712,0.288,15-16
101161,0.899,0.101,0.828,0.021,0.052,0.139,0.12,0.185,0.808,0.661,0.339,1.0,0.0,0.675,0.325,15-16
2760,0.992,0.008,0.768,0.203,0.0,0.043,0.232,0.087,0.565,0.717,0.283,0.0,0.0,0.717,0.283,15-16
203083,0.994,0.006,0.837,0.024,0.005,0.072,0.158,0.138,0.813,0.533,0.467,0.0,1.0,0.531,0.469,15-16
2738,0.582,0.418,0.534,0.118,0.354,0.252,0.112,0.269,0.416,0.631,0.369,0.944,0.056,0.727,0.273,15-16
1889,0.925,0.075,0.792,0.194,0.042,0.076,0.166,0.201,0.597,0.333,0.667,1.0,0.0,0.356,0.644,15-16
203460,0.624,0.376,0.617,0.0,0.285,0.252,0.098,0.187,0.617,0.712,0.288,0.969,0.031,0.772,0.228,15-16
200745,0.943,0.057,0.816,0.5,0.03,0.033,0.154,0.135,0.316,0.863,0.137,1.0,0.0,0.866,0.134,15-16
101106,0.996,0.004,0.928,0.016,0.008,0.077,0.064,0.112,0.912,0.764,0.236,0.0,1.0,0.76,0.24,15-16
202726,0.55,0.45,0.727,0.364,0.136,0.0,0.137,0.182,0.364,0.125,0.875,0.0,1.0,0.111,0.889,15-16
203094,0.632,0.368,0.547,0.094,0.32,0.029,0.133,0.141,0.453,0.362,0.638,0.976,0.024,0.534,0.466,15-16
203952,0.853,0.147,0.641,0.185,0.102,0.125,0.257,0.164,0.456,0.51,0.49,0.825,0.175,0.54,0.46,15-16
203461,0.481,0.519,0.357,0.0,0.321,0.0,0.322,0.179,0.357,0.2,0.8,1.0,0.0,0.5,0.5,15-16
1626148,0.444,0.556,0.33,0.174,0.522,0.122,0.148,0.183,0.157,0.684,0.316,0.95,0.05,0.821,0.179,15-16
203076,0.905,0.095,0.709,0.258,0.071,0.09,0.22,0.138,0.451,0.728,0.272,0.943,0.057,0.741,0.259,15-16
201627,0.387,0.613,0.3,0.158,0.624,0.074,0.076,0.145,0.142,0.526,0.474,0.911,0.089,0.75,0.25,15-16
201229,0.181,0.819,0.157,0.037,0.768,0.047,0.075,0.149,0.12,0.767,0.233,0.99,0.01,0.938,0.063,15-16
203462,0.765,0.235,0.606,0.067,0.137,0.234,0.257,0.17,0.539,0.346,0.654,0.696,0.304,0.392,0.608,15-16
203382,0.995,0.005,0.755,0.14,0.0,0.053,0.245,0.136,0.615,0.753,0.247,0.0,0.0,0.753,0.247,15-16
201167,0.702,0.298,0.579,0.288,0.3,0.088,0.121,0.105,0.29,0.49,0.51,0.912,0.088,0.599,0.401,15-16
203085,0.641,0.359,0.553,0.118,0.314,0.145,0.133,0.192,0.435,0.341,0.659,0.823,0.177,0.473,0.527,15-16
202340,0.601,0.399,0.535,0.229,0.382,0.223,0.083,0.24,0.306,0.647,0.353,0.912,0.088,0.732,0.268,15-16
1626253,0.429,0.571,0.316,0.079,0.513,0.197,0.171,0.118,0.237,0.917,0.083,1.0,0.0,0.96,0.04,15-16
203463,0.593,0.407,0.482,0.109,0.379,0.249,0.139,0.166,0.373,0.68,0.32,0.94,0.06,0.769,0.231,15-16
2757,0.778,0.222,0.693,0.361,0.22,0.083,0.087,0.137,0.332,0.352,0.648,0.933,0.067,0.453,0.547,15-16
202687,0.997,0.003,0.687,0.066,0.0,0.044,0.313,0.137,0.621,0.737,0.263,0.0,0.0,0.737,0.263,15-16
201933,0.97,0.03,0.788,0.32,0.024,0.132,0.188,0.139,0.467,0.641,0.359,0.667,0.333,0.641,0.359,15-16
1626246,1.0,0.0,0.707,0.108,0.0,0.013,0.293,0.182,0.599,0.619,0.381,0.0,0.0,0.619,0.381,15-16
1626171,0.881,0.119,0.78,0.243,0.11,0.11,0.11,0.108,0.537,0.629,0.371,0.938,0.063,0.656,0.344,15-16
202711,0.549,0.451,0.44,0.099,0.436,0.184,0.124,0.156,0.34,0.59,0.41,0.907,0.093,0.716,0.284,15-16
2564,0.82,0.18,0.73,0.074,0.155,0.039,0.115,0.126,0.656,0.48,0.52,0.96,0.04,0.54,0.46,15-16
203078,0.661,0.339,0.53,0.169,0.329,0.163,0.141,0.144,0.361,0.429,0.571,0.8,0.2,0.538,0.462,15-16
201148,1.0,0.0,0.843,0.096,0.0,0.072,0.157,0.072,0.747,0.714,0.286,0.0,0.0,0.714,0.286,15-16
1626183,1.0,0.0,0.8,0.0,0.0,0.6,0.2,0.0,0.8,0.5,0.5,0.0,0.0,0.5,0.5,15-16
101138,0.994,0.006,0.736,0.106,0.0,0.137,0.264,0.173,0.63,0.764,0.236,0.0,0.0,0.764,0.236,15-16
201943,0.49,0.51,0.367,0.139,0.461,0.154,0.172,0.127,0.229,0.246,0.754,0.608,0.392,0.411,0.589,15-16
202688,0.608,0.392,0.493,0.169,0.354,0.168,0.153,0.184,0.324,0.251,0.749,0.608,0.392,0.367,0.633,15-16
201575,0.396,0.604,0.302,0.079,0.639,0.236,0.059,0.148,0.223,0.891,0.109,0.954,0.046,0.928,0.072,15-16
203148,0.745,0.255,0.576,0.312,0.22,0.112,0.204,0.151,0.263,0.356,0.644,0.667,0.333,0.419,0.581,15-16
1627362,0.872,0.128,0.903,0.452,0.0,0.129,0.097,0.161,0.452,0.214,0.786,0.0,0.0,0.214,0.786,15-16
201572,0.988,0.012,0.785,0.192,0.004,0.023,0.211,0.102,0.593,0.591,0.409,1.0,0.0,0.592,0.408,15-16
203998,0.417,0.583,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,15-16
203955,0.7,0.3,1.0,0.75,0.0,0.0,0.0,0.0,0.25,0.25,0.75,0.0,0.0,0.25,0.75,15-16
1626214,0.536,0.464,0.405,0.152,0.456,0.165,0.139,0.076,0.253,0.375,0.625,0.833,0.167,0.571,0.429,15-16
201228,0.65,0.35,0.465,0.211,0.296,0.19,0.239,0.225,0.254,0.424,0.576,0.929,0.071,0.574,0.426,15-16
203912,0.652,0.348,0.486,0.257,0.386,0.157,0.128,0.171,0.229,0.647,0.353,0.889,0.111,0.731,0.269,15-16
203468,0.67,0.33,0.533,0.247,0.355,0.104,0.112,0.149,0.286,0.203,0.797,0.721,0.279,0.362,0.638,15-16
101139,0.39,0.61,0.311,0.096,0.566,0.161,0.123,0.183,0.215,0.487,0.513,0.915,0.085,0.722,0.278,15-16
203946,0.875,0.125,0.706,0.294,0.088,0.059,0.206,0.294,0.412,0.667,0.333,1.0,0.0,0.692,0.308,15-16
1626166,0.601,0.399,0.551,0.24,0.382,0.106,0.067,0.134,0.311,0.141,0.859,0.778,0.222,0.342,0.658,15-16
201171,0.948,0.052,0.758,0.308,0.051,0.028,0.191,0.1,0.45,0.759,0.241,1.0,0.0,0.77,0.23,15-16
2546,0.763,0.237,0.587,0.342,0.2,0.048,0.213,0.093,0.245,0.273,0.727,0.743,0.257,0.36,0.64,15-16
2406,0.695,0.305,0.698,0.603,0.143,0.095,0.159,0.0,0.095,0.636,0.364,1.0,0.0,0.68,0.32,15-16
202718,0.614,0.386,0.516,0.093,0.373,0.174,0.111,0.158,0.423,0.481,0.519,0.865,0.135,0.606,0.394,15-16
101112,0.323,0.677,0.287,0.108,0.642,0.024,0.071,0.172,0.179,0.754,0.246,1.0,0.0,0.901,0.099,15-16
101111,0.474,0.526,0.489,0.069,0.442,0.097,0.069,0.125,0.42,0.564,0.436,0.979,0.021,0.72,0.28,15-16
201978,0.64,0.36,0.59,0.081,0.266,0.24,0.144,0.192,0.509,0.6,0.4,0.958,0.042,0.683,0.317,15-16
2365,0.806,0.194,0.648,0.057,0.114,0.133,0.238,0.152,0.59,0.676,0.324,1.0,0.0,0.711,0.289,15-16
2547,0.711,0.289,0.549,0.255,0.241,0.032,0.21,0.131,0.293,0.606,0.394,0.975,0.025,0.69,0.31,15-16
203142,0.294,0.706,0.28,0.0,0.6,0.04,0.12,0.14,0.28,0.571,0.429,1.0,0.0,0.824,0.176,15-16
203187,0.49,0.51,0.439,0.107,0.395,0.18,0.166,0.224,0.332,0.489,0.511,0.963,0.037,0.667,0.333,15-16
2549,0.907,0.093,0.864,0.409,0.068,0.0,0.068,0.114,0.455,0.737,0.263,1.0,0.0,0.75,0.25,15-16
1626191,0.688,0.312,0.554,0.196,0.348,0.107,0.098,0.241,0.357,0.71,0.29,0.923,0.077,0.773,0.227,15-16
101108,0.705,0.295,0.544,0.29,0.253,0.113,0.203,0.182,0.253,0.115,0.885,0.336,0.664,0.167,0.833,15-16
1626174,0.792,0.208,0.59,0.066,0.197,0.115,0.213,0.328,0.525,0.667,0.333,0.75,0.25,0.682,0.318,15-16
101236,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,15-16
203921,0.625,0.375,0.516,0.129,0.387,0.323,0.097,0.065,0.387,0.625,0.375,1.0,0.0,0.75,0.25,15-16
1626146,1.0,0.0,1.0,0.2,0.0,0.0,0.0,0.2,0.8,0.4,0.6,0.0,0.0,0.4,0.6,15-16
203991,0.997,0.003,0.852,0.004,0.0,0.098,0.148,0.166,0.849,0.667,0.333,0.0,0.0,0.667,0.333,15-16
203469,0.977,0.023,0.721,0.06,0.005,0.116,0.274,0.166,0.661,0.787,0.213,1.0,0.0,0.788,0.212,15-16
202332,1.0,0.0,0.817,0.012,0.0,0.018,0.183,0.146,0.805,0.776,0.224,0.0,0.0,0.776,0.224,15-16
201147,0.594,0.406,0.512,0.044,0.31,0.339,0.178,0.215,0.468,0.682,0.318,0.951,0.049,0.759,0.241,15-16
203928,0.955,0.045,0.818,0.091,0.0,0.091,0.182,0.0,0.727,0.778,0.222,0.0,0.0,0.778,0.222,15-16
