PLAYER_ID,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,SEASON
201985,0.3,0.1,0.1,4.37,4.62,3.96,13-14
201166,1.5,0.8,0.8,4.23,4.49,3.99,13-14
201189,0.7,0.4,0.3,4.23,4.49,3.91,13-14
203519,0.5,0.2,0.2,4.64,5.21,4.16,13-14
1733,1.0,0.5,0.5,4.0,4.19,3.8,13-14
201143,2.2,1.2,1.1,4.08,4.43,3.78,13-14
2744,2.2,1.2,1.0,3.81,3.92,3.68,13-14
202329,1.9,1.0,0.9,4.43,4.75,4.1,13-14
101187,1.5,0.8,0.7,4.04,4.1,3.99,13-14
202692,2.0,1.1,0.9,4.3,4.5,4.09,13-14
203458,0.6,0.3,0.3,4.35,4.62,4.07,13-14
203144,0.8,0.4,0.4,4.35,4.63,4.07,13-14
201582,1.2,0.7,0.5,4.26,4.53,3.99,13-14
203459,0.5,0.3,0.2,4.21,4.46,3.94,13-14
202087,1.2,0.6,0.6,4.56,4.82,4.31,13-14
2405,1.5,0.8,0.7,3.9,3.92,3.88,13-14
101161,2.0,1.0,0.9,4.11,4.23,3.98,13-14
2760,2.0,1.1,1.0,4.41,4.63,4.19,13-14
101154,1.4,0.8,0.7,3.94,4.07,3.79,13-14
203083,2.2,1.2,1.1,4.14,4.29,3.98,13-14
2738,2.2,1.1,1.1,4.2,4.54,3.89,13-14
1889,1.1,0.6,0.5,3.86,4.18,3.54,13-14
203460,0.8,0.4,0.4,4.64,4.74,4.54,13-14
200745,1.9,1.0,0.9,3.81,3.88,3.73,13-14
1905,1.4,0.7,0.6,4.34,4.54,4.12,13-14
101106,1.7,0.9,0.8,3.93,4.33,3.56,13-14
101115,1.2,0.6,0.6,3.72,3.78,3.64,13-14
203094,1.1,0.6,0.5,4.19,4.41,3.97,13-14
2740,0.5,0.3,0.2,4.17,4.71,3.66,13-14
1712,0.8,0.4,0.4,4.45,4.93,4.01,13-14
203461,0.9,0.5,0.4,4.33,4.78,3.91,13-14
203076,2.4,1.3,1.1,4.13,4.36,3.91,13-14
201627,1.3,0.7,0.6,4.15,4.36,3.93,13-14
201576,0.9,0.5,0.4,4.22,4.63,3.85,13-14
201229,1.5,0.8,0.6,4.3,4.61,3.96,13-14
203462,0.8,0.4,0.4,4.45,4.72,4.19,13-14
202620,0.4,0.2,0.2,4.18,4.72,3.72,13-14
203102,1.1,0.6,0.5,4.36,4.83,3.95,13-14
203382,0.7,0.4,0.3,4.3,4.63,3.97,13-14
201167,2.4,1.3,1.1,4.18,4.51,3.84,13-14
201948,0.5,0.3,0.2,4.26,4.4,4.01,13-14
203085,1.4,0.8,0.6,4.21,4.58,3.82,13-14
202340,2.3,1.2,1.1,4.39,4.58,4.2,13-14
2732,1.0,0.6,0.5,4.27,4.7,3.85,13-14
203463,2.0,1.1,0.9,4.55,4.81,4.28,13-14
2757,1.2,0.7,0.5,4.47,4.84,4.08,13-14
203108,0.3,0.2,0.2,4.24,4.27,4.21,13-14
202687,1.0,0.5,0.5,4.2,4.41,3.98,13-14
201933,2.4,1.2,1.2,3.96,4.24,3.7,13-14
2564,1.8,1.0,0.8,4.3,4.79,3.83,13-14
203078,2.5,1.3,1.2,4.34,4.64,4.06,13-14
201148,1.2,0.6,0.6,4.03,4.05,4.01,13-14
101138,1.9,1.0,0.9,4.04,4.23,3.84,13-14
203561,0.9,0.4,0.4,4.61,4.97,4.27,13-14
201943,2.4,1.3,1.1,4.29,4.69,3.89,13-14
202688,2.4,1.3,1.1,4.31,4.75,3.87,13-14
201575,0.8,0.4,0.3,4.22,4.41,4.02,13-14
203148,1.7,0.9,0.8,4.4,4.81,3.99,13-14
201572,2.0,1.0,1.0,3.83,3.91,3.73,13-14
201957,0.6,0.3,0.3,4.16,4.53,3.82,13-14
201228,1.4,0.7,0.6,4.37,4.66,4.08,13-14
203468,0.9,0.5,0.4,4.5,4.89,4.1,13-14
101139,1.4,0.7,0.6,4.25,4.58,3.92,13-14
201171,0.9,0.5,0.4,4.08,4.21,3.93,13-14
2430,1.8,0.9,0.8,3.75,3.87,3.61,13-14
2546,2.4,1.3,1.1,3.76,3.87,3.65,13-14
2406,1.6,0.9,0.8,3.85,4.0,3.71,13-14
203467,0.4,0.2,0.2,4.72,5.34,4.23,13-14
201858,1.1,0.6,0.5,4.36,4.68,4.05,13-14
203810,1.0,0.5,0.5,4.74,5.22,4.32,13-14
202718,2.7,1.4,1.3,4.34,4.75,3.95,13-14
101112,1.8,1.0,0.8,3.93,4.35,3.52,13-14
101111,0.6,0.3,0.3,4.08,4.36,3.8,13-14
201978,1.3,0.7,0.6,4.16,4.51,3.82,13-14
1497,1.1,0.6,0.5,3.97,4.21,3.72,13-14
2365,1.3,0.7,0.7,4.14,4.13,4.14,13-14
203569,0.7,0.4,0.3,4.36,4.64,4.0,13-14
2547,2.0,1.0,1.0,3.82,3.87,3.77,13-14
203142,0.4,0.2,0.2,3.81,3.96,3.65,13-14
201604,1.5,0.8,0.7,4.26,4.46,4.05,13-14
203187,1.5,0.8,0.7,4.67,5.08,4.27,13-14
2549,1.3,0.7,0.6,4.23,4.5,3.97,13-14
101108,2.4,1.2,1.1,4.05,4.52,3.62,13-14
202698,0.7,0.4,0.3,4.34,4.53,4.08,13-14
203147,0.1,0.0,0.0,3.06,5.84,6.42,13-14
202874,1.2,0.6,0.6,4.65,4.89,4.41,13-14
101236,0.8,0.4,0.4,3.96,4.11,3.81,13-14
203469,1.3,0.7,0.6,4.59,5.13,4.03,13-14
202332,0.5,0.3,0.2,4.04,4.24,3.84,13-14
201147,2.2,1.1,1.1,4.16,4.23,4.1,13-14
202709,1.1,0.6,0.5,4.73,5.03,4.41,13-14
201584,1.8,1.0,0.8,4.28,4.49,4.06,13-14
201571,2.0,1.1,0.9,4.29,4.63,3.91,13-14
203474,0.4,0.2,0.2,4.51,4.88,4.13,13-14
201591,0.4,0.2,0.2,4.68,4.61,4.75,13-14
203081,2.5,1.4,1.1,4.28,4.66,3.89,13-14
202345,0.8,0.4,0.4,4.66,4.99,4.32,13-14
202350,0.8,0.4,0.4,4.15,4.53,3.79,13-14
101122,1.4,0.7,0.7,4.1,4.28,3.92,13-14
201980,1.9,1.0,0.9,4.64,5.03,4.25,13-14
201967,1.5,0.8,0.7,4.43,4.69,4.18,13-14
203130,0.4,0.2,0.2,4.72,5.21,4.31,13-14
203121,1.1,0.6,0.5,4.03,4.23,3.81,13-14
202721,0.9,0.5,0.4,4.67,4.78,4.52,13-14
201589,1.2,0.6,0.6,4.12,4.47,3.81,13-14
201954,1.9,1.0,0.9,4.37,4.61,4.16,13-14
101135,2.3,1.2,1.1,4.14,4.43,3.88,13-14
2561,1.9,1.0,0.9,3.71,3.89,3.53,13-14
201599,2.3,1.1,1.1,3.92,4.15,3.71,13-14
202732,0.1,0.0,0.0,4.28,0.0,0.0,13-14
201971,1.0,0.5,0.5,3.95,3.95,3.97,13-14
201942,2.6,1.5,1.2,4.13,4.43,3.8,13-14
202326,2.1,1.1,1.0,3.83,3.88,3.76,13-14
201960,2.2,1.1,1.1,4.11,4.23,3.99,13-14
203471,1.0,0.5,0.5,4.53,4.91,4.16,13-14
965,1.2,0.6,0.6,4.02,4.37,3.69,13-14
101114,2.2,1.2,1.0,4.18,4.56,3.8,13-14
202324,2.1,1.1,0.9,4.17,4.39,3.93,13-14
201565,2.3,1.3,1.0,4.45,4.88,4.01,13-14
202682,1.6,0.9,0.7,4.12,4.34,3.9,13-14
2734,1.4,0.8,0.6,4.14,4.55,3.74,13-14
203473,0.9,0.5,0.4,4.37,4.69,4.03,13-14
202354,0.1,0.0,0.0,4.27,5.07,3.7,13-14
203197,1.1,0.6,0.5,4.39,4.66,4.09,13-14
203079,2.1,1.1,1.0,4.22,4.64,3.81,13-14
202091,0.5,0.3,0.2,4.43,4.76,4.17,13-14
1717,2.1,1.1,1.0,3.8,4.02,3.59,13-14
202388,0.6,0.3,0.3,4.29,4.51,4.05,13-14
202700,1.2,0.6,0.6,4.51,4.84,4.21,13-14
2748,1.0,0.6,0.5,4.29,4.54,4.02,13-14
203117,0.9,0.5,0.4,4.22,4.48,3.96,13-14
203110,1.5,0.8,0.7,4.14,4.47,3.83,13-14
2400,1.2,0.7,0.6,4.14,4.38,3.9,13-14
202779,0.8,0.4,0.3,4.37,4.69,4.02,13-14
2730,2.2,1.1,1.0,3.87,4.18,3.58,13-14
2548,2.2,1.2,1.1,4.1,4.38,3.84,13-14
202734,1.4,0.7,0.7,4.34,4.59,4.09,13-14
201947,1.1,0.6,0.5,4.47,4.8,4.12,13-14
2248,0.5,0.2,0.2,4.34,4.31,4.37,13-14
202334,1.1,0.6,0.5,4.32,4.47,4.17,13-14
202327,1.3,0.7,0.6,4.03,4.21,3.84,13-14
203548,0.4,0.2,0.2,4.23,4.76,3.8,13-14
202343,1.3,0.6,0.6,4.39,4.51,4.29,13-14
1882,1.3,0.7,0.6,3.96,4.16,3.76,13-14
202683,1.8,1.0,0.8,4.08,4.21,3.94,13-14
202339,2.2,1.2,1.1,4.11,4.38,3.84,13-14
201569,2.2,1.2,1.0,4.15,4.6,3.72,13-14
201953,0.8,0.4,0.4,4.37,4.61,4.12,13-14
203513,0.2,0.1,0.1,4.45,4.61,4.26,13-14
101141,1.8,1.0,0.8,4.07,4.41,3.72,13-14
203095,1.5,0.8,0.7,4.44,4.88,4.05,13-14
202323,2.1,1.1,1.0,4.2,4.57,3.86,13-14
101128,1.3,0.7,0.7,4.12,4.28,3.97,13-14
203539,0.7,0.4,0.3,4.54,5.12,3.9,13-14
202066,0.6,0.3,0.3,4.48,4.8,4.15,13-14
202390,1.5,0.8,0.6,4.15,4.6,3.69,13-14
201588,2.2,1.2,1.0,4.11,4.32,3.9,13-14
101123,2.0,1.0,1.0,4.23,4.45,4.01,13-14
201945,2.4,1.3,1.0,4.45,4.86,4.02,13-14
2222,1.6,0.9,0.8,4.05,4.25,3.84,13-14
203507,1.8,1.0,0.8,4.44,4.84,4.02,13-14
203540,0.5,0.3,0.2,4.21,4.56,3.84,13-14
201175,1.6,0.8,0.8,3.92,4.05,3.78,13-14
203318,0.7,0.4,0.3,4.52,4.73,4.29,13-14
201609,2.6,1.4,1.2,4.38,4.83,3.94,13-14
202330,2.6,1.5,1.1,4.3,4.68,3.89,13-14
203476,0.9,0.5,0.4,4.1,4.2,3.99,13-14
202328,2.2,1.1,1.0,3.98,4.1,3.85,13-14
201141,0.6,0.3,0.3,4.11,4.14,4.09,13-14
202962,0.6,0.3,0.3,4.13,4.45,3.83,13-14
201880,1.3,0.7,0.6,4.22,4.56,3.86,13-14
202349,1.6,0.9,0.7,4.27,4.6,3.93,13-14
202970,1.2,0.6,0.6,4.29,4.74,3.88,13-14
202380,0.4,0.2,0.2,4.46,4.89,4.19,13-14
203084,2.1,1.1,1.0,4.43,4.83,4.04,13-14
201934,0.6,0.3,0.3,4.01,4.07,3.9,13-14
2045,0.7,0.4,0.3,4.24,4.56,3.96,13-14
203156,1.3,0.7,0.7,4.23,4.47,4.01,13-14
200756,0.4,0.2,0.2,4.1,4.13,4.07,13-14
