PLAYER_ID,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,SEASON
201985,8.7,3.2,0.7,5.08,4.78,0.18,0.0,0.0,0.0,13-14
201166,39.7,15.0,3.4,5.06,5.32,0.226,0.3,0.0,0.7,13-14
201189,14.0,7.4,0.4,1.65,0.4,0.121,1.6,0.4,2.0,13-14
203519,6.3,4.7,0.2,2.08,1.05,0.368,0.0,0.2,0.0,13-14
1733,24.9,15.1,0.6,1.47,0.58,0.264,0.7,0.6,1.2,13-14
201143,63.0,40.6,1.8,1.75,0.49,0.295,6.7,7.1,7.7,13-14
2744,49.7,38.6,1.9,2.34,0.59,0.439,5.2,19.8,7.5,13-14
202329,31.5,21.4,1.1,2.11,1.03,0.227,1.4,0.5,3.1,13-14
101187,26.8,16.9,1.3,2.81,1.83,0.267,0.3,0.2,0.6,13-14
202692,53.6,37.8,3.0,3.39,2.78,0.26,1.5,0.1,1.4,13-14
203458,11.8,5.4,0.3,1.49,0.26,0.174,0.7,0.7,2.1,13-14
203144,16.3,9.8,1.0,3.75,3.27,0.243,0.2,0.0,0.4,13-14
201582,26.9,13.0,0.7,1.67,0.37,0.217,3.4,0.9,4.1,13-14
203459,8.8,6.8,0.2,1.63,0.77,0.25,0.2,0.0,0.3,13-14
202087,20.3,15.4,0.7,2.1,1.24,0.196,0.2,0.1,1.0,13-14
2405,29.8,19.3,1.0,1.99,0.54,0.399,2.9,5.2,3.8,13-14
101161,47.7,29.4,1.1,1.42,0.4,0.217,3.9,1.2,6.1,13-14
2760,51.4,27.1,1.4,1.68,0.48,0.163,6.5,1.2,5.6,13-14
101154,39.2,24.8,1.3,2.03,0.76,0.284,3.4,3.1,4.3,13-14
203083,38.8,18.0,0.9,1.4,0.38,0.349,1.7,1.6,11.6,13-14
2738,44.1,23.1,2.9,3.88,3.17,0.212,0.7,1.3,1.9,13-14
1889,35.4,15.1,3.0,5.0,4.56,0.137,0.5,1.6,0.9,13-14
203460,9.6,6.8,0.3,1.7,0.66,0.196,0.4,0.1,1.5,13-14
200745,44.4,29.0,1.2,1.63,0.46,0.3,3.6,2.3,3.5,13-14
1905,25.5,16.4,0.9,2.15,0.73,0.198,2.2,0.8,3.2,13-14
101106,39.3,18.2,1.1,1.75,0.65,0.187,1.9,0.7,6.2,13-14
101115,26.1,18.6,1.0,2.3,0.72,0.332,3.5,8.8,5.2,13-14
203094,19.8,10.6,0.6,1.72,0.46,0.289,0.4,2.3,1.5,13-14
2740,8.5,2.7,0.2,1.68,0.31,0.059,0.8,0.0,0.7,13-14
1712,21.8,11.3,0.5,1.24,0.26,0.175,0.6,0.2,1.4,13-14
203461,21.7,10.3,0.5,1.37,0.36,0.192,1.5,0.7,1.8,13-14
203076,53.8,33.7,1.7,1.9,0.51,0.387,8.1,4.2,7.8,13-14
201627,18.9,15.7,0.7,2.11,1.22,0.442,1.1,0.3,0.6,13-14
201576,19.0,11.0,0.7,2.19,1.19,0.252,1.1,0.4,1.2,13-14
201229,23.9,15.9,0.5,1.3,0.27,0.259,0.3,0.1,0.5,13-14
203462,14.3,8.3,0.7,2.86,2.16,0.262,0.2,0.0,0.9,13-14
202620,8.0,2.8,0.2,1.51,0.18,0.075,0.4,0.2,1.6,13-14
203102,22.0,10.8,0.5,1.28,0.25,0.136,2.0,0.1,2.4,13-14
