Feature,Feature_Group,Ankle_Rho,Ankle_pval,Knee_Rho,Knee_pval
AVG_SPEED_DEF,Tracking Movement,-0.07235293207452939,4.4340500061904253e-07,-0.05673844032896804,0.00016306894677840979
AGE,Physical & Baseline Health,-0.055370042115458,0.00011245318448228875,0.019969418000938582,0.1848289648105972
AVG_SPEED,Tracking Movement,-0.045418556536372834,0.001541318586191884,-0.03725806952575334,0.013346568712383926
AVG_SPEED_OFF,Tracking Movement,-0.011493559619328107,0.4230859601394814,-0.0262340042480981,0.0814827555413559
PLAYER_WEIGHT,Physical & Baseline Health,0.011018223517747575,0.4425187593223806,-0.0010627752110246138,0.9437442750958208
PLAYER_HEIGHT_INCHES,Physical & Baseline Health,0.0249121586436184,0.08246813227111148,-0.0003002240802541285,0.9840961505001
AVG_DRIB_PER_TOUCH,Tracking Dribble & Control,0.028103069273340917,0.05010671045312928,0.031234823881437543,0.03804308474300636
AVG_SEC_PER_TOUCH,Tracking Dribble & Control,0.03054743274401787,0.03321095562071366,0.03189951397835752,0.03412797738710707
PACE,Tracking Workload,0.037034467380887295,0.009822066217161304,0.017958139799208534,0.2330831082894137
POST_TOUCHES,Tracking Contact & Burst,0.08086399304321329,1.6506201063491714e-08,0.022348816299438988,0.13779052760054378
ELBOW_TOUCHES,Tracking Contact & Burst,0.09546391833690727,2.5814001876895775e-11,0.014820701114581735,0.32506769226096466
GP,Physical & Baseline Health,0.09673281631924023,1.4018017326343563e-11,0.004128930936883615,0.7839709789609526
PULL_UP_FGA,Tracking Dribble & Control,0.09898652418721142,4.647976550832147e-12,0.051336688237068495,0.0006476609346368302
USG_PCT,Tracking Workload,0.10146150276316716,1.3436522323148762e-12,0.03455241608450751,0.021741955060969122
PAINT_TOUCHES,Tracking Contact & Burst,0.10384571131014408,3.950853764018921e-13,0.016714163785131436,0.26706793531590134
DRIVES,Tracking Contact & Burst,0.11673512929784736,3.2446151201080534e-16,0.05166466740559125,0.0005977188121781911
DRIVE_TOV,Tracking Contact & Burst,0.11976775035832853,5.4075355527121793e-17,0.0535518696076433,0.000373388039307296
DRIVE_FGA,Tracking Contact & Burst,0.1283257288641074,2.68528468346203e-19,0.05275618707396455,0.00045614598176417433
TIME_OF_POSS,Tracking Dribble & Control,0.13266480274859754,1.5832375801044567e-20,0.06278691748388592,3.0067921669882252e-05
POSS,Tracking Workload,0.1662834152618671,1.8017887595084692e-31,0.0388220854485052,0.009919467793259506
TOUCHES,Tracking Contact & Burst,0.16701063527573345,9.791456002365678e-32,0.06993884002611446,3.3291733315827593e-06
FRONT_CT_TOUCHES,Tracking Contact & Burst,0.16936504783955936,1.3337802867731577e-32,0.05590187172706656,0.00020352907426304825
MIN,Physical & Baseline Health,0.17336536336610267,4.217146305512423e-34,0.06215973674753715,3.608958625879937e-05
DIST_MILES_DEF,Tracking Movement,0.17596399377464358,4.274543508421416e-35,0.060001959648801145,6.676894700195894e-05
DIST_MILES_OFF,Tracking Movement,0.17980542054327256,1.3577484966545542e-36,0.06363735250979205,2.3412063487984444e-05
DIST_MILES,Tracking Movement,0.18046241534184845,7.59321824403295e-37,0.06352206074761106,2.4275739247641705e-05
